event_key,discipline_key,discipline_name,discipline_category,team_type,sort_order,coverage_flag,notes
1980-worlds-oregon-city-usa,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,1,partial,
1980-worlds-oregon-city-usa,doubles_consecutive_kicks,Doubles Consecutive Kicks,sideline,doubles,2,partial,
1980-worlds-oregon-city-usa,singles_net,Singles Net,net,singles,3,partial,
1980-worlds-oregon-city-usa,doubles_net,Doubles Net,net,doubles,4,partial,
1981-worlds-oregon-city-usa,intermediate_singles_consecutive_kicks,Intermediate Singles Consecutive Kicks,sideline,singles,1,partial,
1981-worlds-oregon-city-usa,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,2,partial,
1981-worlds-oregon-city-usa,womens_singles_consecutive_kicks,Women's Singles Consecutive Kicks,sideline,singles,3,partial,
1981-worlds-oregon-city-usa,team_consecutive_kicks,Team Consecutive Kicks,sideline,team,4,partial,
1981-worlds-oregon-city-usa,intermediate_singles_net,Intermediate Singles Net,net,singles,5,complete,
1981-worlds-oregon-city-usa,intermediate_doubles_net,Intermediate Doubles Net,net,doubles,6,partial,
1981-worlds-oregon-city-usa,singles_net,Singles Net,net,singles,7,partial,
1981-worlds-oregon-city-usa,doubles_net,Doubles Net,net,doubles,8,partial,
1981-worlds-oregon-city-usa,womens_doubles_net,Women's Doubles Net,net,doubles,9,partial,
1982-worlds-oregon-city-usa,golf,Golf,golf,singles,1,partial,
1982-worlds-oregon-city-usa,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,2,partial,
1982-worlds-oregon-city-usa,intermediate_singles_net,Intermediate Singles Net,net,singles,3,complete,
1982-worlds-oregon-city-usa,intermediate_doubles_net,Intermediate Doubles Net,net,doubles,4,complete,
1982-worlds-oregon-city-usa,singles_net,Singles Net,net,singles,5,partial,
1982-worlds-oregon-city-usa,doubles_net,Doubles Net,net,doubles,6,partial,
1982-worlds-oregon-city-usa,womens_singles_net,Women's Singles Net,net,singles,7,partial,
1982-worlds-oregon-city-usa,womens_doubles_net,Women's Doubles Net,net,doubles,8,partial,
1982-worlds-oregon-city-usa,mixed_doubles_net,Mixed Doubles Net,net,doubles,9,partial,
1982-worlds-oregon-city-usa,freestyle,Freestyle,freestyle,singles,10,partial,
1982-worlds-oregon-city-usa,intermediate_freestyle,Intermediate Freestyle,freestyle,singles,11,partial,
1983-worlds-boulder-usa-2001983001,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,1,partial,
1983-worlds-boulder-usa-2001983001,womens_consecutive_kicks,Women's Consecutive Kicks,sideline,singles,2,partial,
1983-worlds-boulder-usa-2001983001,intermediate_singles_net,Intermediate Singles Net,net,singles,3,complete,
1983-worlds-boulder-usa-2001983001,intermediate_doubles_net,Intermediate Doubles Net,net,doubles,4,complete,
1983-worlds-boulder-usa-2001983001,singles_net,Singles Net,net,singles,5,partial,
1983-worlds-boulder-usa-2001983001,doubles_net,Doubles Net,net,doubles,6,partial,
1983-worlds-boulder-usa-2001983001,womens_singles_net,Women's Singles Net,net,singles,7,partial,
1983-worlds-boulder-usa-2001983001,womens_doubles_net,Women's Doubles Net,net,doubles,8,partial,
1983-worlds-boulder-usa-2001983001,mixed_doubles_net,Mixed Doubles Net,net,doubles,9,partial,
1983-worlds-boulder-usa-2001983001,singles_freestyle,Singles Freestyle,freestyle,singles,10,partial,
1983-worlds-boulder-usa-2001983001,team_freestyle,Team Freestyle,freestyle,team,11,partial,
1983-worlds-boulder-usa-2001983002,singles_net,Singles Net,net,singles,1,complete,
1983-worlds-boulder-usa-2001983002,doubles_net,Doubles Net,net,doubles,2,complete,
1983-worlds-boulder-usa-2001983002,womens_singles_net,Women's Singles Net,net,singles,3,complete,
1983-worlds-boulder-usa-2001983002,womens_doubles_net,Women's Doubles Net,net,doubles,4,complete,
1983-worlds-boulder-usa-2001983002,mixed_doubles_net,Mixed Doubles Net,net,doubles,5,complete,
1983-worlds-boulder-usa-2001983002,singles_freestyle,Singles Freestyle,freestyle,singles,6,partial,
1983-worlds-boulder-usa-2001983002,team_freestyle,Team Freestyle,freestyle,team,7,partial,
1983-worlds-boulder-usa-2001983002,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,8,complete,
1983-worlds-boulder-usa-2001983002,golf,Golf,golf,singles,9,complete,
1984-worlds-boulder-usa,mens_overall,Men's Overall,net,singles,1,partial,
1984-worlds-boulder-usa,womens_overall,Women's Overall,net,singles,2,partial,
1984-worlds-boulder-usa,golf,Golf,golf,singles,3,partial,
1984-worlds-boulder-usa,womens_golf,Women's Golf,golf,singles,4,partial,
1984-worlds-boulder-usa,intermediate_singles_net,Intermediate Singles Net,net,singles,5,complete,
1984-worlds-boulder-usa,intermediate_doubles_net,Intermediate Doubles Net,net,doubles,6,complete,
1984-worlds-boulder-usa,intermediate_freestyle,Intermediate Freestyle,freestyle,singles,7,complete,
1984-worlds-boulder-usa,advanced_singles_net,Advanced Singles Net,net,singles,8,partial,
1984-worlds-boulder-usa,advanced_doubles_net,Advanced Doubles Net,net,doubles,9,partial,
1984-worlds-boulder-usa,ultra_singles_net,Ultra Singles Net,net,singles,10,partial,
1984-worlds-boulder-usa,ultra_doubles_net,Ultra Doubles Net,net,doubles,11,partial,
1984-worlds-boulder-usa,mixed_doubles_net,Mixed Doubles Net,net,doubles,12,partial,
1984-worlds-boulder-usa,womens_singles_net,Women's Singles Net,net,singles,13,partial,
1984-worlds-boulder-usa,womens_doubles_net,Women's Doubles Net,net,doubles,14,partial,
1984-worlds-boulder-usa,womens_ultra_singles_net,Women's Ultra Singles Net,net,singles,15,partial,
1984-worlds-boulder-usa,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,16,partial,
1984-worlds-boulder-usa,doubles_consecutive_kicks,Doubles Consecutive Kicks,sideline,doubles,17,partial,
1984-worlds-boulder-usa,doubles_one_pass_consecutive_kicks,Doubles One-Pass Consecutive Kicks,sideline,doubles,18,partial,
1984-worlds-boulder-usa,womens_singles_consecutive_kicks,Women's Singles Consecutive Kicks,sideline,singles,19,partial,
1984-worlds-boulder-usa,womens_doubles_consecutive_kicks,Women's Doubles Consecutive Kicks,sideline,doubles,20,partial,
1984-worlds-boulder-usa,womens_doubles_one_pass_consecutive_kicks,Women's Doubles One-Pass Consecutive Kicks,sideline,doubles,21,complete,
1984-worlds-boulder-usa,singles_freestyle,Singles Freestyle,freestyle,singles,22,partial,
1984-worlds-boulder-usa,team_freestyle,Team Freestyle,freestyle,team,23,partial,
1984-worlds-boulder-usa,womens_freestyle,Women's Freestyle,freestyle,singles,24,partial,
1985-championships-long-branch-usa,singles_consecutive,Singles Consecutive,sideline,singles,1,complete,
1985-championships-long-branch-usa,doubles_consecutive,Doubles Consecutive,sideline,doubles,2,complete,
1985-championships-long-branch-usa,footbag_golf,Footbag Golf,golf,singles,3,complete,
1985-championships-long-branch-usa,footbag_freestyle,Footbag Freestyle,freestyle,singles,4,complete,
1985-championships-long-branch-usa,mixed_doubles_footbag_net,Mixed Doubles Footbag Net,net,doubles,5,complete,
1985-championships-long-branch-usa,advanced_doubles_net,Advanced Doubles Net,net,doubles,6,complete,
1985-championships-long-branch-usa,open_singles_net,Open Singles Net,net,singles,7,complete,
1985-championships-long-branch-usa,open_doubles_net,Open Doubles Net,net,doubles,8,complete,
1985-championships-long-branch-usa,womens_singles_net,Womens Singles Net,net,singles,9,complete,
1985-worlds-golden-usa,mens_overall,Men's Overall,net,singles,1,partial,
1985-worlds-golden-usa,womens_overall,Women's Overall,net,singles,2,partial,
1985-worlds-golden-usa,golf,Golf,golf,singles,3,partial,
1985-worlds-golden-usa,womens_golf,Women's Golf,golf,singles,4,partial,
1985-worlds-golden-usa,intermediate_singles_net,Intermediate Singles Net,net,singles,5,complete,
1985-worlds-golden-usa,advanced_singles_net,Advanced Singles Net,net,singles,6,partial,
1985-worlds-golden-usa,advanced_doubles_net,Advanced Doubles Net,net,doubles,7,partial,
1985-worlds-golden-usa,ultra_singles_net,Ultra Singles Net,net,singles,8,partial,
1985-worlds-golden-usa,ultra_doubles_net,Ultra Doubles Net,net,doubles,9,partial,
1985-worlds-golden-usa,mixed_doubles_net,Mixed Doubles Net,net,doubles,10,partial,
1985-worlds-golden-usa,womens_singles_net,Women's Singles Net,net,singles,11,partial,
1985-worlds-golden-usa,womens_doubles_net,Women's Doubles Net,net,doubles,12,partial,
1985-worlds-golden-usa,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,13,partial,
1985-worlds-golden-usa,doubles_consecutive_kicks,Doubles Consecutive Kicks,sideline,doubles,14,partial,
1985-worlds-golden-usa,doubles_one_pass_consecutive_kicks,Doubles One-Pass Consecutive Kicks,sideline,doubles,15,partial,
1985-worlds-golden-usa,womens_singles_consecutive_kicks,Women's Singles Consecutive Kicks,sideline,singles,16,partial,
1985-worlds-golden-usa,womens_doubles_consecutive_kicks,Women's Doubles Consecutive Kicks,sideline,doubles,17,partial,
1985-worlds-golden-usa,womens_doubles_one_pass_consecutive_kicks,Women's Doubles One-Pass Consecutive Kicks,sideline,doubles,18,partial,
1985-worlds-golden-usa,singles_freestyle,Singles Freestyle,freestyle,singles,19,partial,
1985-worlds-golden-usa,team_freestyle,Team Freestyle,freestyle,team,20,partial,
1985-worlds-golden-usa,womens_freestyle,Women's Freestyle,freestyle,singles,21,partial,
1986-championships-long-branch-usa,singles_consecutive,Singles Consecutive,sideline,singles,1,complete,
1986-championships-long-branch-usa,doubles_one_pass_consecutive,Doubles One Pass Consecutive,sideline,doubles,2,complete,
1986-championships-long-branch-usa,footbag_golf,Footbag Golf,golf,singles,3,complete,
1986-championships-long-branch-usa,footbag_freestyle,Footbag Freestyle,freestyle,singles,4,complete,
1986-championships-long-branch-usa,mixed_doubles_footbag_net,Mixed Doubles Footbag Net,net,doubles,5,complete,
1986-championships-long-branch-usa,beginners_singls_net,Beginners Singls Net,net,singles,6,complete,
