event_key,discipline_key,placement,score_text,notes,source
1980-worlds-oregon-city-usa,doubles_consecutive_kicks,1,,,
1980-worlds-oregon-city-usa,doubles_net,1,,,
1980-worlds-oregon-city-usa,doubles_net,2,,,
1980-worlds-oregon-city-usa,doubles_net,3,,,
1980-worlds-oregon-city-usa,singles_consecutive_kicks,1,,,
1980-worlds-oregon-city-usa,singles_net,1,,,
1980-worlds-oregon-city-usa,singles_net,2,,,
1980-worlds-oregon-city-usa,singles_net,3,,,
1981-worlds-oregon-city-usa,doubles_net,1,,,
1981-worlds-oregon-city-usa,doubles_net,2,,,
1981-worlds-oregon-city-usa,doubles_net,3,,,
1981-worlds-oregon-city-usa,intermediate_doubles_net,1,,,
1981-worlds-oregon-city-usa,intermediate_singles_consecutive_kicks,1,,,
1981-worlds-oregon-city-usa,intermediate_singles_net,1,,,
1981-worlds-oregon-city-usa,singles_consecutive_kicks,1,,,
1981-worlds-oregon-city-usa,singles_net,1,,,
1981-worlds-oregon-city-usa,singles_net,2,,,
1981-worlds-oregon-city-usa,singles_net,3,,,
1981-worlds-oregon-city-usa,team_consecutive_kicks,1,,,
1981-worlds-oregon-city-usa,womens_doubles_net,1,,,
1981-worlds-oregon-city-usa,womens_doubles_net,2,,,
1981-worlds-oregon-city-usa,womens_doubles_net,3,,,
1981-worlds-oregon-city-usa,womens_singles_consecutive_kicks,1,,,
1982-worlds-oregon-city-usa,doubles_net,1,,,
1982-worlds-oregon-city-usa,doubles_net,2,,,
1982-worlds-oregon-city-usa,doubles_net,3,,,
1982-worlds-oregon-city-usa,freestyle,1,,,
1982-worlds-oregon-city-usa,freestyle,2,,,
1982-worlds-oregon-city-usa,freestyle,3,,,
1982-worlds-oregon-city-usa,golf,1,,,
1982-worlds-oregon-city-usa,golf,2,,,
1982-worlds-oregon-city-usa,golf,3,,,
1982-worlds-oregon-city-usa,intermediate_doubles_net,1,,,
1982-worlds-oregon-city-usa,intermediate_freestyle,1,,,
1982-worlds-oregon-city-usa,intermediate_singles_net,1,,,
1982-worlds-oregon-city-usa,mixed_doubles_net,1,,,
1982-worlds-oregon-city-usa,mixed_doubles_net,2,,,
1982-worlds-oregon-city-usa,mixed_doubles_net,3,,,
1982-worlds-oregon-city-usa,singles_consecutive_kicks,1,,,
1982-worlds-oregon-city-usa,singles_consecutive_kicks,2,,,
1982-worlds-oregon-city-usa,singles_consecutive_kicks,3,,,
1982-worlds-oregon-city-usa,singles_net,1,,,
1982-worlds-oregon-city-usa,singles_net,2,,,
1982-worlds-oregon-city-usa,singles_net,3,,,
1982-worlds-oregon-city-usa,womens_doubles_net,1,,,
1982-worlds-oregon-city-usa,womens_doubles_net,2,,,
1982-worlds-oregon-city-usa,womens_doubles_net,3,,,
1982-worlds-oregon-city-usa,womens_singles_net,1,,,
1982-worlds-oregon-city-usa,womens_singles_net,2,,,
1982-worlds-oregon-city-usa,womens_singles_net,3,,,
1983-worlds-boulder-usa-2001983001,doubles_net,1,,,
1983-worlds-boulder-usa-2001983001,doubles_net,2,,,
1983-worlds-boulder-usa-2001983001,doubles_net,3,,,
1983-worlds-boulder-usa-2001983001,intermediate_doubles_net,1,,,
1983-worlds-boulder-usa-2001983001,intermediate_singles_net,1,,,
1983-worlds-boulder-usa-2001983001,mixed_doubles_net,1,,,
1983-worlds-boulder-usa-2001983001,mixed_doubles_net,2,,,
1983-worlds-boulder-usa-2001983001,mixed_doubles_net,3,,,
1983-worlds-boulder-usa-2001983001,singles_consecutive_kicks,1,,,
1983-worlds-boulder-usa-2001983001,singles_consecutive_kicks,2,,,
1983-worlds-boulder-usa-2001983001,singles_consecutive_kicks,3,,,
1983-worlds-boulder-usa-2001983001,singles_freestyle,1,,,
1983-worlds-boulder-usa-2001983001,singles_freestyle,2,,,
1983-worlds-boulder-usa-2001983001,singles_freestyle,3,,,
1983-worlds-boulder-usa-2001983001,singles_net,1,,,
1983-worlds-boulder-usa-2001983001,singles_net,2,,,
1983-worlds-boulder-usa-2001983001,singles_net,3,,,
1983-worlds-boulder-usa-2001983001,team_freestyle,1,,,
1983-worlds-boulder-usa-2001983001,team_freestyle,2,,,
1983-worlds-boulder-usa-2001983001,team_freestyle,3,,,
1983-worlds-boulder-usa-2001983001,womens_consecutive_kicks,1,,,
1983-worlds-boulder-usa-2001983001,womens_consecutive_kicks,2,,,
1983-worlds-boulder-usa-2001983001,womens_consecutive_kicks,3,,,
1983-worlds-boulder-usa-2001983001,womens_doubles_net,1,,,
1983-worlds-boulder-usa-2001983001,womens_doubles_net,2,,,
1983-worlds-boulder-usa-2001983001,womens_doubles_net,3,,,
1983-worlds-boulder-usa-2001983001,womens_singles_net,1,,,
1983-worlds-boulder-usa-2001983001,womens_singles_net,2,,,
1983-worlds-boulder-usa-2001983001,womens_singles_net,3,,,
1983-worlds-boulder-usa-2001983002,doubles_net,1,,,
1983-worlds-boulder-usa-2001983002,doubles_net,2,,,
1983-worlds-boulder-usa-2001983002,doubles_net,3,,,
1983-worlds-boulder-usa-2001983002,golf,1,,,
1983-worlds-boulder-usa-2001983002,golf,2,,,
1983-worlds-boulder-usa-2001983002,golf,3,,,
1983-worlds-boulder-usa-2001983002,mixed_doubles_net,1,,,
1983-worlds-boulder-usa-2001983002,mixed_doubles_net,2,,,
1983-worlds-boulder-usa-2001983002,mixed_doubles_net,3,,,
1983-worlds-boulder-usa-2001983002,singles_consecutive_kicks,1,,,
1983-worlds-boulder-usa-2001983002,singles_freestyle,1,,,
1983-worlds-boulder-usa-2001983002,singles_freestyle,2,,,
1983-worlds-boulder-usa-2001983002,singles_freestyle,3,,,
1983-worlds-boulder-usa-2001983002,singles_net,1,,,
1983-worlds-boulder-usa-2001983002,singles_net,2,,,
1983-worlds-boulder-usa-2001983002,singles_net,3,,,
1983-worlds-boulder-usa-2001983002,team_freestyle,1,,,
1983-worlds-boulder-usa-2001983002,team_freestyle,2,,,
1983-worlds-boulder-usa-2001983002,team_freestyle,3,,,
1983-worlds-boulder-usa-2001983002,womens_doubles_net,1,,,
1983-worlds-boulder-usa-2001983002,womens_doubles_net,2,,,
1983-worlds-boulder-usa-2001983002,womens_doubles_net,3,,,
1983-worlds-boulder-usa-2001983002,womens_singles_net,1,,,
1983-worlds-boulder-usa-2001983002,womens_singles_net,2,,,
1983-worlds-boulder-usa-2001983002,womens_singles_net,3,,,
1984-worlds-boulder-usa,advanced_doubles_net,1,,,
1984-worlds-boulder-usa,advanced_doubles_net,2,,,
1984-worlds-boulder-usa,advanced_doubles_net,3,,,
1984-worlds-boulder-usa,advanced_singles_net,1,,,
1984-worlds-boulder-usa,advanced_singles_net,2,,,
1984-worlds-boulder-usa,advanced_singles_net,3,,,
1984-worlds-boulder-usa,doubles_consecutive_kicks,1,,,
1984-worlds-boulder-usa,doubles_consecutive_kicks,2,,,
1984-worlds-boulder-usa,doubles_consecutive_kicks,3,,,
1984-worlds-boulder-usa,doubles_one_pass_consecutive_kicks,1,,,
1984-worlds-boulder-usa,doubles_one_pass_consecutive_kicks,2,,,
1984-worlds-boulder-usa,doubles_one_pass_consecutive_kicks,3,,,
1984-worlds-boulder-usa,golf,1,,,
1984-worlds-boulder-usa,golf,2,,,
1984-worlds-boulder-usa,golf,3,,,
1984-worlds-boulder-usa,intermediate_doubles_net,1,,,
1984-worlds-boulder-usa,intermediate_freestyle,1,,,
1984-worlds-boulder-usa,intermediate_singles_net,1,,,
1984-worlds-boulder-usa,mens_overall,1,,,
1984-worlds-boulder-usa,mixed_doubles_net,1,,,
1984-worlds-boulder-usa,mixed_doubles_net,2,,,
1984-worlds-boulder-usa,mixed_doubles_net,3,,,
1984-worlds-boulder-usa,singles_consecutive_kicks,1,,,
1984-worlds-boulder-usa,singles_consecutive_kicks,2,,,
1984-worlds-boulder-usa,singles_consecutive_kicks,3,,,
1984-worlds-boulder-usa,singles_freestyle,1,,,
1984-worlds-boulder-usa,singles_freestyle,2,,,
1984-worlds-boulder-usa,singles_freestyle,3,,,
1984-worlds-boulder-usa,team_freestyle,1,,,
1984-worlds-boulder-usa,team_freestyle,2,,,
1984-worlds-boulder-usa,team_freestyle,3,,,
1984-worlds-boulder-usa,ultra_doubles_net,1,,,
1984-worlds-boulder-usa,ultra_doubles_net,2,,,
1984-worlds-boulder-usa,ultra_doubles_net,3,,,
