person_id,person_name,member_id,country,first_year,last_year,event_count,placement_count,bap_member,bap_nickname,bap_induction_year,hof_member,hof_induction_year,freestyle_sequences,freestyle_max_add,freestyle_unique_tricks,freestyle_diversity_ratio,signature_trick_1,signature_trick_2,signature_trick_3
b7a11079-a08c-5010-9f3f-35e35e46e966,Aaro Wichmann,,Finland,2002,2005,4,4,0,,,0,,,,,,,,
eea1063c-fcc1-5849-9e35-592bdf13fd7b,Aaron De Glanville,,,,,,,,,,0,,,,,,,,
ee4a31bf-24fa-5566-b19b-7f7a40e12d22,Aaron Dean,,United States,1999,1999,2,3,0,,,0,,,,,,,,
58b8b504-077c-5a37-9e96-0bb405506e02,Aaron Finger,,United States,1998,1999,2,2,0,,,0,,,,,,,,
3f12f7d5-75dc-5467-8aab-1c864defb1e8,Aaron Grauer,,United States,1999,1999,1,2,0,,,0,,,,,,,,
0bf96614-8396-5c18-bdb0-501af1fa9c81,Aaron Gregg,,United States,1997,1997,4,9,0,,,0,,,,,,,,
1018fba6-1fb7-5b2a-8a0e-0dcde74d1e26,Aaron Hunsburger,,United States,2005,2010,4,6,0,,,0,,,,,,,,
766ba8a6-f9b8-5be2-b501-6a034451d8ac,Aaron Orton,,United States,2007,2007,1,2,0,,,0,,,,,,,,
fea8f5a0-4e10-5161-8a35-9ac795141db3,Aaron Shepard,,United States,2003,2009,3,3,0,,,0,,,,,,,,
c87f38e0-b918-5fdc-b7bb-b131198a6d82,Abel Da Silva,,Venezuela,2013,2015,2,3,0,,,0,,,,,,,,
6ef97ba8-166b-58bf-a815-485ad4bb4bb6,Abraham Akbari,,United States,2001,2001,1,1,0,,,0,,,,,,,,
cae9fcaa-a9d1-5992-bc64-d79fd7f5d5f3,Abram Santana,,United States,2007,2010,3,3,0,,,0,,,,,,,,
2244b92b-058a-5735-9452-3c4c86e32569,Acosta Funes,,Venezuela,2013,2015,2,3,0,,,0,,,,,,,,
fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,,Poland,2004,2007,3,11,0,,,0,,,,,,,,
57477659-5d12-5993-a43e-5a03384ccdff,Adam Dziewior,,Poland,2004,2004,3,3,0,,,0,,,,,,,,
91a047ef-e294-58ca-8ffd-b8bb18c65361,Adam Eisner,,United States,1985,1985,2,3,0,,,0,,,,,,,,
d87e8f79-2fff-589a-b1ce-8f07371cf4d9,Adam Fox,,Australia,2002,2002,1,1,0,,,0,,,,,,,,
de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,,Canada,2007,2014,3,3,0,,,0,,,,,,,,
3411998f-eba4-56d9-9ce6-15625a0207ea,Adam Hutchinson,,United States,1991,1998,3,7,0,,,0,,,,,,,,
6c5e5fe4-c2d5-5d13-85df-1c751c10286e,Adam Keith,,United States,2001,2004,3,4,0,,,0,,,,,,,,
f4c78642-48de-58f6-9c21-63d2da1215c1,Adam Kulhánek,,Czech Republic,2004,2004,1,2,0,,,0,,,,,,,,
5e6c732e-5dbd-5994-81a2-179c2934de5e,Adam Norton,,New Zealand,2000,2000,1,3,0,,,0,,,,,,,,
5a74ce40-c264-5136-b408-4ca3be3a99f1,Adam Pirog,,Canada,2000,2001,2,3,0,,,0,,,,,,,,
b463ecda-35db-59ba-b166-4adbad9b4224,Adam Sitarski,,United States,2004,2004,1,5,0,,,0,,,,,,,,
ac609395-74de-5986-ace2-80b11fdb9c50,Adrian Bartoszuk,,Poland,2008,2009,2,2,0,,,0,,,,,,,,
aa5f0e41-79db-5da1-a7dd-d47f3bd16cc2,Adrian Dick,12048,United States,2000,2017,5,7,0,,,0,,,,,,,,
31807edb-3e39-512f-8055-515a28c9653f,Adrian Dukes,,United States,2004,2004,1,2,0,,,0,,,,,,,,
4016e3be-276e-521c-a74e-c80a7ce6cd11,Adrian Garcia,,United States,2000,2001,2,5,0,,,0,,,,,,,,
486c9db6-e1e7-5324-b092-8f4158ddb923,Adrian Pohl,,France,2005,2006,4,6,0,,,0,,,,,,,,
6a27bba5-97af-5cc8-859f-95396a41d8d3,Adrian Saenz,,Spain,2020,2021,2,2,0,,,0,,,,,,,,
2824a5fd-45b1-5923-9bcc-a35d9a475770,Adrian Verhoef,,United States,1997,1999,9,12,0,,,0,,,,,,,,
f2fb7161-f6ed-5a0a-84e6-0e22ddd8397a,Adrienne Dukes,69774,United States,2005,2009,7,11,0,,,0,,,,,,,,
693b7dd3-a5f9-50da-a4b3-1898bb7a069b,Aerial Santesteban,,,,,1,2,0,,,0,,,,,,,,
a93806d5-4742-5d09-ae97-36b2744b697b,Agata Górska,,Poland,2005,2005,2,2,0,,,0,,,,,,,,
c84f68fb-16c1-5231-83fa-46eaa2ef955d,Agata Piesiewicz,,Poland,2007,2007,3,3,0,,,0,,,,,,,,
919f3417-97e3-574a-9f85-f0aafc57539e,Ahren Gehrman,12471,United States,1997,2001,6,13,1,Torch,1996,0,,,,,,,,
64f7188a-bfd6-5fec-93ef-c76a06ec7811,Airam Díaz,,Venezuela,2010,2010,1,2,0,,,0,,,,,,,,
071ff943-073b-5edb-b2b1-ae6bb1676176,AJ Shultz,,,,,,,,,,0,,,,,,,,
0e264f16-8804-52e4-8aa4-2d8dfeb02416,Aki Pentikäinen,,Finland,1999,1999,1,1,0,,,0,,,,,,,,
fb975dca-5348-559e-aede-88918ce88632,Aku Kolu,,Finland,2001,2001,1,2,0,,,0,,,,,,,,
a42cf921-c464-5ab4-b1ff-f7ce4c0bf8ed,Alain Custovic,,France,2007,2016,11,22,0,,,0,,,,,,,,
3c93150b-7b40-5ad9-bc1c-14a7322b3a8d,Alan Cook,,,1982,1982,6,6,0,,,0,,,,,,,,
da0a2c69-e34e-59ff-957e-a611fa3ddf7b,Alan Eneev,,United States,2025,2025,1,3,0,,,0,,,,,,,,
e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,,Venezuela,2010,2015,14,21,0,,,0,,,,,,,,
9d4fd0d3-c687-5734-83a1-36c805240681,Alan Tai,,United States,2001,2001,1,1,0,,,0,,,,,,,,
695c56ad-2470-5414-a778-2de90ff7727e,Alan Underhill,,United States,2011,2011,1,2,0,,,0,,,,,,,,
c2637d75-15a7-5f34-b78a-16264db593c0,Alberto Perez,,Venezuela,2011,2015,6,15,0,,,0,,,,,,,,
d56fe6aa-9b02-5154-8b51-9464b5746bc0,Ale Pelko,64656,France,2006,2018,14,34,0,,,0,,,,,,,,
34f7525c-19c0-5557-996f-cf770d365ed0,Alejandro Rodriguez,,Colombia,2012,2019,4,7,0,,,0,,,,,,,,
4ad0c899-687c-5d20-8b97-37ab113a40ec,Alejandro Rueda Patiño,,Colombia,2014,2014,1,1,0,,,0,,,,,,,,
ba1d648e-4e90-594f-ae88-ef73aa4627a1,Aleksandar Dojci,,Germany,2003,2003,1,2,0,,,0,,,,,,,,
2af86bf4-e30f-52a3-bd04-68831fc30cef,Aleksei Zikin,,Austria,2007,2007,1,1,0,,,0,,,,,,,,
20a6818b-f288-59d1-b897-86ab3148988b,Aleksey Shloma,,Russia,2013,2013,1,2,0,,,0,,,,,,,,
7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airinen,68811,Finland,2005,2025,29,84,1,Air,2006,0,,,,,,,,
d38c8b25-f75d-5038-9f01-6fc23d7439c0,Aleksi Oehman,,,,,1,2,0,,,0,,,,,,,,
998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Öhman,,Finland,1999,2019,25,32,0,,,0,,,,,,,,
f2e73bec-d859-51b9-8312-edb5a473e83e,Ales Zelinka,,Czech Republic,2001,2011,22,49,0,,,0,,,,,,,,
45b40a79-0205-5653-b18d-237dc54e3692,Alex Bartsch,68943,Germany,2010,2014,25,31,0,,,0,,,,,,,,
743b3110-af5d-5b1d-a489-5f0ebece2abd,Alex Bernstein,,United States,2008,2008,1,4,0,,,0,,,,,,,,
fd9295e3-97e4-5ef5-98fa-f8e13b93bff0,Alex Bélanger,,Canada,2005,2005,1,1,0,,,0,,,,,,,,
5034c206-0e8f-58e6-8845-776e6b7a57e4,Alex Davidson,,United States,2008,2008,1,1,0,,,0,,,,,,,,
337dc937-b022-51ef-8470-99fff306e2c9,Alex Dworetzky,,United States,2007,2017,17,38,0,,,0,,,,,,,,
16b2083f-d41a-5944-8669-d41494e21159,Alex Faber,,United States,2000,2003,5,7,0,,,0,,,,,,,,
