event_key,discipline_key,discipline_name,discipline_category,team_type,sort_order,coverage_flag,notes
event_1980_world_championships_1980_nhsa,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,1,partial,
event_1980_world_championships_1980_nhsa,doubles_consecutive_kicks,Doubles Consecutive Kicks,sideline,doubles,2,partial,
event_1980_world_championships_1980_nhsa,singles_net,Singles Net,net,singles,3,partial,
event_1980_world_championships_1980_nhsa,doubles_net,Doubles Net,net,doubles,4,partial,
event_1981_world_championships_1981_nhsa,intermediate_singles_consecutive_kicks,Intermediate Singles Consecutive Kicks,sideline,singles,1,partial,
event_1981_world_championships_1981_nhsa,singles_consecutive_kicks,Singles Consecutive Kicks,sideline,singles,2,partial,
event_1981_world_championships_1981_nhsa,womens_singles_consecutive_kicks,Women's Singles Consecutive Kicks,sideline,singles,3,partial,
event_1981_world_championships_1981_nhsa,team_consecutive_kicks,Team Consecutive Kicks,sideline,team,4,partial,
event_1981_world_championships_1981_nhsa,intermediatesingles_net,Intermediatesingles Net,net,singles,5,partial,
event_1981_world_championships_1981_nhsa,intermediate_doubles_net,Intermediate Doubles Net,net,doubles,6,partial,
event_1981_world_championships_1981_nhsa,singles_net,Singles Net,net,singles,7,partial,
event_1981_world_championships_1981_nhsa,doubles_net,Doubles Net,net,doubles,8,partial,
event_1981_world_championships_1981_nhsa,womens_doubles_net,Women's Doubles Net,net,doubles,9,partial,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,Open Doubles Net,net,doubles,1,complete,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,Mixed Doubles Net,net,doubles,2,complete,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,Women's Doubles Net,net,doubles,3,complete,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,Open Singles Net,net,singles,4,complete,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,Women's Singles Net,net,singles,5,complete,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_doubles_net,Intermediate Doubles Net,net,doubles,6,complete,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_net,Intermediate Singles Net,net,singles,7,complete,
event_2011_32nd_ifpa_world_footbag_championships,masters_singles_net,Masters Singles Net,net,singles,8,complete,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,Open Singles Routines,freestyle,singles,9,partial,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,Open Circle Contest,freestyle,singles,10,sparse,
event_2011_32nd_ifpa_world_footbag_championships,open_shred_30,Open Shred:30,freestyle,singles,11,complete,
event_2011_32nd_ifpa_world_footbag_championships,open_request_contest,Open Request Contest,freestyle,singles,12,sparse,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,Open Sick 3-Trick Contest,freestyle,singles,13,mostly_complete,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,Women's Singles Routines,freestyle,singles,14,mostly_complete,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,Women's Circle Contest,freestyle,singles,15,complete,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,Women's Shred:30,freestyle,singles,16,complete,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_routines,Open Doubles Routines,freestyle,doubles,17,complete,
event_2011_32nd_ifpa_world_footbag_championships,open_mixed_doubles_routines,Open Mixed Doubles Routines,freestyle,doubles,18,complete,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_routines,Intermediate Singles Routines,freestyle,singles,19,complete,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_shred_30,Intermediate Shred:30,freestyle,singles,20,complete,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_request_contest,Intermediate Request Contest,freestyle,singles,21,mostly_complete,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,Open 2-Square,sideline,singles,22,partial,
