event_key,discipline_key,placement,participant_order,display_name,person_id,notes
event_1980_world_championships_1980_nhsa,singles_consecutive_kicks,1,1,Ken Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,
event_1980_world_championships_1980_nhsa,doubles_consecutive_kicks,1,1,Ken Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,
event_1980_world_championships_1980_nhsa,doubles_consecutive_kicks,1,2,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,
event_1980_world_championships_1980_nhsa,singles_net,1,1,John Stalberger,8f420eba-d663-5f06-b0f4-b62bf7550f80,
event_1980_world_championships_1980_nhsa,singles_net,2,1,Walt Mason,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,
event_1980_world_championships_1980_nhsa,singles_net,3,1,Ken Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,
event_1980_world_championships_1980_nhsa,doubles_net,1,1,John Stalberger,8f420eba-d663-5f06-b0f4-b62bf7550f80,
event_1980_world_championships_1980_nhsa,doubles_net,1,2,Max Smith,95fb4def-7ff2-5c9c-8de5-1b97d0e13756,
event_1980_world_championships_1980_nhsa,doubles_net,2,1,Walt Mason,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,
event_1980_world_championships_1980_nhsa,doubles_net,2,2,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,
event_1980_world_championships_1980_nhsa,doubles_net,1,3,Gale Bigler,f06dc40d-e92e-5784-9269-cf25a77b450e,
event_1980_world_championships_1980_nhsa,doubles_net,1,4,Dave Frazier,d00d203f-ac71-5ec1-ad7f-497a8f024c50,
event_1981_world_championships_1981_nhsa,intermediate_singles_consecutive_kicks,1,1,Max Smith,95fb4def-7ff2-5c9c-8de5-1b97d0e13756,
event_1981_world_championships_1981_nhsa,singles_consecutive_kicks,1,1,Gary Lautt,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,
event_1981_world_championships_1981_nhsa,womens_singles_consecutive_kicks,1,1,Kalia Klaban,0c681fd1-e4bf-54b3-a314-41da581ecb40,
event_1981_world_championships_1981_nhsa,team_consecutive_kicks,1,1,Kalia Klaban,0c681fd1-e4bf-54b3-a314-41da581ecb40,
event_1981_world_championships_1981_nhsa,team_consecutive_kicks,1,2,Gary Lautt,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,
event_1981_world_championships_1981_nhsa,intermediatesingles_net,1,1,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,
event_1981_world_championships_1981_nhsa,intermediate_doubles_net,1,1,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,
event_1981_world_championships_1981_nhsa,intermediate_doubles_net,1,2,Mark Daniels,33e83366-7b1e-5c4a-99a9-8eba0d3988ca,
event_1981_world_championships_1981_nhsa,singles_net,1,1,John Stalberger,8f420eba-d663-5f06-b0f4-b62bf7550f80,
event_1981_world_championships_1981_nhsa,singles_net,2,1,Ken Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,
event_1981_world_championships_1981_nhsa,singles_net,3,1,Dave Hill,5cb79fb4-ab20-558f-b4a2-e7206c9f22df,
event_1981_world_championships_1981_nhsa,doubles_net,1,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,
event_1981_world_championships_1981_nhsa,doubles_net,1,2,Bill Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,
event_1981_world_championships_1981_nhsa,doubles_net,2,1,John Stalberger,8f420eba-d663-5f06-b0f4-b62bf7550f80,
event_1981_world_championships_1981_nhsa,doubles_net,2,2,Max Smith,95fb4def-7ff2-5c9c-8de5-1b97d0e13756,
event_1981_world_championships_1981_nhsa,doubles_net,1,3,Ken Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,
event_1981_world_championships_1981_nhsa,doubles_net,1,4,Walt Mason,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,
event_1981_world_championships_1981_nhsa,womens_doubles_net,1,1,Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,
event_1981_world_championships_1981_nhsa,womens_doubles_net,1,2,Misty Helms,e85a6af9-3ac6-550d-8b35-045ec4886d06,
event_1981_world_championships_1981_nhsa,womens_doubles_net,2,1,unknown,,
event_1981_world_championships_1981_nhsa,womens_doubles_net,1,3,Lori Jean Conover,77f0f32d-98bf-5742-8228-4e06ac07bd9d,
event_1981_world_championships_1981_nhsa,womens_doubles_net,1,4,Jennifer Reese,8d03383e-8e17-5065-a3ec-bae127aea67d,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,1,1,Emmanuel Bouchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,1,2,Florian Goetze,ab966624-6643-5dea-b165-67e66af402f9,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,2,1,Matti Pohjola,ddffefad-c620-55ab-b1bc-ca01939671c6,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,2,2,Janne Uusitalo,628bd3b2-335d-5fdb-bad2-b794d74ede90,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,3,1,Oskari Forstén,111079c7-b085-530e-b4da-68e9b975803e,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,3,2,Tuomas Kärki,e7937047-c7f1-5739-bb84-aceb23c17dd7,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,4,1,Yves Kreil,b274fbcc-9283-5e2e-9c68-704f3212796e,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,4,2,Luke Legault,b3b2232e-40c2-5a99-bf1f-aa3e4f5b569c,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,5,1,JF Lemieux,c1f4a6a4-7905-5276-98df-cbad30981800,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,5,2,Greg Lima,c7a23f15-f2ed-5f2b-ac50-bb1adb185475,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,6,1,P.T. Lovern,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,6,2,Jeremy Mirken,31bd4e75-1a44-56b4-94b3-071cdc8dee82,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,7,1,François Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,7,2,Benjamin Rochon,c312c02d-8a8c-5c73-8b68-65fc9e3fa453,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,8,1,Jack Harris,7c8cfb20-ed0b-5203-89ea-46dea3ebf0e0,
