event_key,discipline_key,placement,score_text,notes,source
event_1980_world_championships_1980_nhsa,singles_consecutive_kicks,1,,,
event_1980_world_championships_1980_nhsa,doubles_consecutive_kicks,1,,,
event_1980_world_championships_1980_nhsa,singles_net,1,,,
event_1980_world_championships_1980_nhsa,singles_net,2,,,
event_1980_world_championships_1980_nhsa,singles_net,3,,,
event_1980_world_championships_1980_nhsa,doubles_net,1,,,
event_1980_world_championships_1980_nhsa,doubles_net,2,,,
event_1981_world_championships_1981_nhsa,intermediate_singles_consecutive_kicks,1,,,
event_1981_world_championships_1981_nhsa,singles_consecutive_kicks,1,,,
event_1981_world_championships_1981_nhsa,womens_singles_consecutive_kicks,1,,,
event_1981_world_championships_1981_nhsa,team_consecutive_kicks,1,,,
event_1981_world_championships_1981_nhsa,intermediatesingles_net,1,,,
event_1981_world_championships_1981_nhsa,intermediate_doubles_net,1,,,
event_1981_world_championships_1981_nhsa,singles_net,1,,,
event_1981_world_championships_1981_nhsa,singles_net,2,,,
event_1981_world_championships_1981_nhsa,singles_net,3,,,
event_1981_world_championships_1981_nhsa,doubles_net,1,,,
event_1981_world_championships_1981_nhsa,doubles_net,2,,,
event_1981_world_championships_1981_nhsa,womens_doubles_net,1,,,
event_1981_world_championships_1981_nhsa,womens_doubles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,3,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,5,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,6,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,7,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,8,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,9,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,10,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,11,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,12,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,13,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,14,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,15,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,16,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,17,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,18,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,19,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,20,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,21,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,22,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,23,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,24,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,25,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,26,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,27,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,28,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,29,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,30,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,31,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,32,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,33,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,34,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,35,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,36,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,37,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,3,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,5,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,6,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,7,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,8,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,9,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,10,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,11,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,12,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,13,,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,14,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,2,,,
