event_key,discipline_key,discipline_name,discipline_category,team_type,sort_order,coverage_flag,notes
1980_western_states,1980_western_states__freestyle,Freestyle,freestyle,singles,1,complete,
1980_western_states,1980_western_states__open_doubles_net,Open Doubles Net,net,doubles,2,complete,
1980_western_states,1980_western_states__open_singles_net,Open Singles Net,net,singles,3,complete,
1980_western_states,1980_western_states__womens_singles,Women's Singles,freestyle,singles,4,complete,
1980_worlds,1980_worlds__doubles_consecutive_kicks,Doubles Consecutive Kicks,,,,,
1980_worlds,1980_worlds__doubles_net,Doubles Net,,,,,
1980_worlds,1980_worlds__singles_consecutive_kicks,Singles Consecutive Kicks,,,,,
1980_worlds,1980_worlds__singles_net,Singles Net,,,,,
1980_worlds_clackamas,1980_worlds_clackamas__open_singles,Open Singles,,,,,
1981_texas_state,1981_texas_state__open_singles_net,Open Singles Net,net,singles,1,complete,
1981_worlds,1981_worlds__doubles_net,Doubles Net,,,,,
1981_worlds,1981_worlds__intermediate_doubles_net,Intermediate Doubles Net,,,,,
1981_worlds,1981_worlds__intermediate_singles_consecutive_kicks,Intermediate Singles Consecutive Kicks,,,,,
1981_worlds,1981_worlds__intermediate_singles_net,Intermediate Singles Net,,,,,
1981_worlds,1981_worlds__singles_consecutive_kicks,Singles Consecutive Kicks,,,,,
1981_worlds,1981_worlds__singles_net,Singles Net,,,,,
1981_worlds,1981_worlds__team_consecutive_kicks,Team Consecutive Kicks,,,,,
1981_worlds,1981_worlds__women's_doubles_net,Women's Doubles Net,,,,,
1981_worlds,1981_worlds__women's_singles_consecutive_kicks,Women's Singles Consecutive Kicks,,,,,
1981_worlds_portland,1981_worlds_portland__open_singles,Open Singles,,,,,
1981_worlds_portland,1981_worlds_portland__freestyle_singles,Freestyle Singles,freestyle,singles,1,complete,
1981_worlds_portland,1981_worlds_portland__open_doubles,Open Doubles,net,doubles,2,complete,
1981_worlds_portland,1981_worlds_portland__womens_singles,Women's Singles,net,singles,4,complete,
1982_western_regionals,1982_western_regionals__open_doubles,Open Doubles,,,,,
1982_worlds,1982_worlds__,,,,,,
1982_worlds,1982_worlds__doubles_net,Doubles Net,,,,,
1982_worlds,1982_worlds__freestyle,Freestyle,,,,,
1982_worlds,1982_worlds__golf,Golf,,,,,
1982_worlds,1982_worlds__intermediate_doubles_net,Intermediate Doubles Net,,,,,
1982_worlds,1982_worlds__intermediate_freestyle,Intermediate Freestyle,,,,,
1982_worlds,1982_worlds__intermediate_singles_net,Intermediate Singles Net,,,,,
1982_worlds,1982_worlds__mixed_dbls_net,Mixed Dbls Net,,,,,
1982_worlds,1982_worlds__mixed_doubles_net,Mixed Doubles Net,,,,,
1982_worlds,1982_worlds__open_dbls_net,Open Dbls Net,,,,,
1982_worlds,1982_worlds__open_golf,Open Golf,,,,,
1982_worlds,1982_worlds__open_sgls_consecutive,Open Sgls Consecutive,,,,,
1982_worlds,1982_worlds__open_sgls_freestyle,Open Sgls Freestyle,,,,,
1982_worlds,1982_worlds__open_sgls_net,Open Sgls Net,,,,,
1982_worlds,1982_worlds__open_team_freestyle,Open Team Freestyle,,,,,
1982_worlds,1982_worlds__singles_consecutive_kicks,Singles Consecutive Kicks,,,,,
1982_worlds,1982_worlds__singles_net,Singles Net,,,,,
1982_worlds,1982_worlds__women's_dbls_net,Women's Dbls Net,,,,,
1982_worlds,1982_worlds__women's_doubles_net,Women's Doubles Net,,,,,
1982_worlds,1982_worlds__women's_sgls_net,Women's Sgls Net,,,,,
1982_worlds,1982_worlds__women's_singles_net,Women's Singles Net,,,,,
1982_worlds_portland,1982_worlds_portland__open_singles,Open Singles,,,,,
1982_worlds_portland,1982_worlds_portland__open_singles_net,Open Singles Net,net,singles,1,complete,
1983_oregon_state,1983_oregon_state__open_singles,Open Singles,,,,,
1983_secret_underground,1983_secret_underground__open_freestyle,Open Freestyle,freestyle,singles,1,complete,
1983_worlds_nhsa,1983_worlds_nhsa__doubles_net,Doubles Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__intermediate_doubles_net,Intermediate Doubles Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__intermediate_singles_net,Intermediate Singles Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__mixed_dbls_net,Mixed Dbls Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__mixed_doubles_net,Mixed Doubles Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__open_dbls_net,Open Dbls Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__open_golf,Open Golf,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__open_sgls_consecutive,Open Sgls Consecutive,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__open_sgls_freestyle,Open Sgls Freestyle,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__open_sgls_net,Open Sgls Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__open_team_freestyle,Open Team Freestyle,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__singles,Singles,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__singles_consecutive_kicks,Singles Consecutive Kicks,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__singles_freestyle,Singles Freestyle,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__singles_net,Singles Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__team,Team,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__team_freestyle,Team Freestyle,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__women's_consecutive_kicks,Women's Consecutive Kicks,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__women's_doubles_net,Women's Doubles Net,,,,,
1983_worlds_nhsa,1983_worlds_nhsa__women's_singles_net,Women's Singles Net,,,,,
1983_worlds_portland,1983_worlds_portland__open_doubles_net,Open Doubles Net,,,,,
1983_worlds_portland,1983_worlds_portland__open_singles_net,Open Singles Net,,,,,
1983_worlds_wfa,1983_worlds_wfa__doubles_net,Doubles Net,,,,,
