event_key,discipline_key,placement,score_text,notes,source
1980_mike_marshall_memorial,open_doubles_consecutive,1,,,
1980_mike_marshall_memorial,open_doubles_net,1,,,
1980_mike_marshall_memorial,open_doubles_net,2,,,
1980_mike_marshall_memorial,open_doubles_net,3,,,
1980_mike_marshall_memorial,open_singles_consecutive,1,,,
1980_mike_marshall_memorial,open_singles_net,1,,,
1980_mike_marshall_memorial,open_singles_net,2,,,
1980_mike_marshall_memorial,open_singles_net,3,,,
1980_national,open_singles,1,,,
1980_national,open_singles,2,,,
1980_western_states,freestyle,2,,,
1980_western_states,freestyle,3,,,
1980_western_states,open_doubles_net,1,,,
1980_western_states,open_doubles_net,2,,,
1980_western_states,open_doubles_net,3,,,
1980_western_states,open_singles_net,1,,,
1980_western_states,open_singles_net,2,,,
1980_western_states,open_singles_net,3,,,
1980_western_states,womens_singles_net,1,,,
1980_western_states,womens_singles_net,2,,,
1980_western_states,womens_singles_net,3,,,
1980_worlds,doubles_consecutive_kicks,1,,,
1980_worlds,doubles_net,1,,,
1980_worlds,doubles_net,2,,,
1980_worlds,doubles_net,3,,,
1980_worlds,singles_consecutive_kicks,1,,,
1980_worlds,singles_net,1,,,
1980_worlds,singles_net,2,,,
1980_worlds,singles_net,3,,,
1980_worlds_memphis,freestyle,1,,,
1980_worlds_memphis,freestyle,2,,,
1980_worlds_memphis,freestyle,3,,,
1980_worlds_memphis,mixed_doubles,1,,,
1980_worlds_memphis,open_doubles_net,1,,,
1980_worlds_memphis,open_doubles_net,2,,,
1980_worlds_memphis,open_doubles_net,3,,,
1980_worlds_memphis,open_singles_net,1,,,
1980_worlds_memphis,open_singles_net,2,,,
1980_worlds_memphis,open_singles_net,3,,,
1980_worlds_memphis,womens_singles,1,,,
1981_mike_marshall_memorial,open_doubles_net,1,,,
1981_mike_marshall_memorial,open_doubles_net,2,,,
1981_mike_marshall_memorial,open_doubles_net,3,,,
1981_mike_marshall_memorial,open_singles_consecutive,1,,,
1981_mike_marshall_memorial,open_singles_net,1,,,
1981_mike_marshall_memorial,open_singles_net,2,,,
1981_mike_marshall_memorial,open_singles_net,3,,,
1981_mike_marshall_memorial,open_team_consecutive,1,,,
1981_mike_marshall_memorial,womens_doubles_net,1,,,
1981_mike_marshall_memorial,womens_doubles_net,3,,,
1981_mike_marshall_memorial,womens_singles_consecutive,1,,,
1981_texas_state,open_singles_net,1,,,
1981_texas_state,open_singles_net,2,,,
1981_worlds,doubles_net,1,,,
1981_worlds,doubles_net,2,,,
1981_worlds,doubles_net,3,,,
1981_worlds,intermediate_doubles_net,1,,,
1981_worlds,intermediate_singles_consecutive_kicks,1,,,
1981_worlds,intermediate_singles_net,1,,,
1981_worlds,singles_consecutive_kicks,1,,,
1981_worlds,singles_net,1,,,
1981_worlds,singles_net,2,,,
1981_worlds,singles_net,3,,,
1981_worlds,team_consecutive_kicks,1,,,
1981_worlds,womens_doubles_net,1,,,
1981_worlds,womens_doubles_net,2,,,
1981_worlds,womens_doubles_net,3,,,
1981_worlds,womens_singles_consecutive_kicks,1,,,
1981_worlds_san_dimas,consecutive_kicks_open,1,,,
1981_worlds_san_dimas,distance_one_step,1,,,
1981_worlds_san_dimas,mixed_doubles_net,1,,,
1981_worlds_san_dimas,open_doubles_net,1,,,
1981_worlds_san_dimas,open_doubles_net,2,,,
1981_worlds_san_dimas,open_doubles_net,3,,,
1981_worlds_san_dimas,open_singles_net,1,,,
1981_worlds_san_dimas,open_singles_net,2,,,
1981_worlds_san_dimas,open_singles_net,3,,,
1981_worlds_san_dimas,womens_singles_net,1,,,
1982_nhsa_national,mixed_doubles_net,1,,,
1982_nhsa_national,mixed_doubles_net,2,,,
1982_nhsa_national,mixed_doubles_net,3,,,
1982_nhsa_national,open_doubles_net,1,,,
1982_nhsa_national,open_doubles_net,2,,,
1982_nhsa_national,open_doubles_net,3,,,
1982_nhsa_national,open_golf,1,,,
1982_nhsa_national,open_singles_consecutive,1,,,
1982_nhsa_national,open_singles_freestyle,1,,,
1982_nhsa_national,open_singles_net,1,,,
1982_nhsa_national,open_singles_net,2,,,
1982_nhsa_national,open_singles_net,3,,,
1982_nhsa_national,open_team_freestyle,1,,,
1982_nhsa_national,open_team_freestyle,2,,,
1982_nhsa_national,open_team_freestyle,3,,,
1982_nhsa_national,womens_doubles_net,1,,,
1982_nhsa_national,womens_doubles_net,2,,,
1982_nhsa_national,womens_doubles_net,3,,,
