event_key,legacy_event_id,year,event_name,event_slug,start_date,end_date,city,region,country,host_club,status,notes,source
1980_worlds,bb975bff1d,1980,1980 NHSA (Mike Marshall Memorial),1980_worlds,1980,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1980_worlds_clackamas,8396ba09ac,1980,1980 National / World Footbag Championships,1980_worlds_clackamas,1980,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|IFAB|PRE1997
1980_western_states,,1980,Western States Footbag Championships 1980,1980_western_states,,,Corvallis,Oregon,United States,,completed,,MIRROR|POST1997
1981_worlds,b9540daaab,1981,1981 NHSA (Mike Marshall Memorial),1981_worlds,1981,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1981_worlds_portland,af9e865ed5,1981,1981 World Footbag Championships,1981_worlds_portland,1981,,,,,,historical,SINGLE_SOURCE,FBW|PRE1997
1981_texas_state,,1981,Texas State Footbag Championships 1981,1981_texas_state,,,,Texas,United States,,completed,,MIRROR|POST1997
1982_worlds,1e36e7ca92,1982,1982 NHSA,1982_worlds,1982,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1982_western_regionals,e41e20722d,1982,1982 Western Regionals,1982_western_regionals,1982,,,,,,historical,SINGLE_SOURCE,FBW|PRE1997
1982_worlds_portland,f771c4ef26,1982,1982 World Footbag Championships,1982_worlds_portland,1982,,,,,,historical,SINGLE_SOURCE,FBW|PRE1997
1983_worlds_nhsa,76498d51d2,1983,1983 NHSA,1983_worlds_nhsa,1983,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1983_oregon_state,0a43031545,1983,1983 Oregon State Championships,1983_oregon_state,1983,,,,,,historical,SINGLE_SOURCE,FBW|PRE1997
1983_worlds_wfa,00659874b9,1983,1983 WFA,1983_worlds_wfa,1983,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1983_worlds_portland,76ff377548,1983,1983 World Footbag Championships,1983_worlds_portland,1983,,,,,,historical,SINGLE_SOURCE,FBW|PRE1997
1983_secret_underground,,1983,Secret Underground Jam,1983_secret_underground,,,,,,,completed,,MIRROR|POST1997
1984_worlds,6cd9e5b635,1984,1984,1984_worlds,1984,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1984_euro_champs,77aa0f8390,1984,1984 European Footbag Championships,1984_euro_champs,1984,,,,,,historical,SINGLE_SOURCE,FBW|PRE1997
1984_wfa_nationals,0e1499ab21,1984,1984 WFA National Championships,1984_wfa_nationals,1984,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1985_worlds,88ab188635,1985,1985,1985_worlds,1985,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1985_holiday,,1985,1985 Holiday Classic,1985_holiday,,,San Diego,,California,,completed,,MIRROR|POST1997
1985_wfa_nationals,1c74083104,1985,1985 WFA National Championships,1985_wfa_nationals,1985,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1985_eastregion,,1985,East Coast Championships - 3rd Annual - 1985,1985_eastregion,1985-09-14,1985-09-15,Long Branch,New Jersey,United States,,completed,,MIRROR|POST1997
1985_floodbag_finals,,1985,Floodbag Finals,1985_floodbag_finals,,,Vancouver,,Washington,,completed,,MIRROR|POST1997
1985_footbagjam,,1985,Greatest Lakes Footbag Open,1985_footbagjam,,,Boulder,,Colorado,,completed,,MIRROR|POST1997
1985_st_valentines_day,,1985,St. Valentines Day Footbag Massacre,1985_st_valentines_day,,,Fort Collins,,Colorado,,completed,,MIRROR|POST1997
1985_mountainregion,,1985,WFA Rocky Mountain Regionals,1985_mountainregion,,,Kansas City,,Missouri,,completed,,MIRROR|POST1997
1985_western_national_indoor,,1985,Western National Indoor Footbag Freestyle Championship,1985_western_national_indoor,,,Chicago,,Illinois,,completed,,MIRROR|POST1997
1985_western_states,,1985,Western States Footbag Championships 1985,1985_western_states,,,Portland,Oregon,United States,,completed,,MIRROR|POST1997
1986_worlds_golden,b4b6a194e2,1986,1986 WFA World Championships,1986_worlds_golden,1986,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|OLD_RESULTS|PRE1997
1986_eastregion,,1986,East Coast Footbag Championships - 4th Annual - 1986,1986_eastregion,1986-09-30,1986-09-30,Long Branch,New Jersey,United States,,completed,,MIRROR|POST1997
1986_sunshine_state,,1986,Sunshine State Open 1986,1986_sunshine_state,,,,Florida,United States,,completed,,MIRROR|POST1997
1987_euro_champs,e753e2a15c,1987,1987 European Footbag Championships,1987_euro_champs,1987,,,,,,historical,SINGLE_SOURCE,FBW|PRE1997
1987_worlds_golden,8667de3590,1987,1987 WFA World Championships,1987_worlds_golden,1987,,,,,,historical,CONFIRMED_MULTI_SOURCE,FBW|PRE1997
1987_eastregion,,1987,Eastern Regionals 1987,1987_eastregion,,,Atlanta,Georgia,United States,,completed,,MIRROR|POST1997
