person_id,person_name,member_id,country,first_year,last_year,event_count,placement_count,bap_member,bap_nickname,bap_induction_year,hof_member,hof_induction_year,freestyle_sequences,freestyle_max_add,freestyle_unique_tricks,freestyle_diversity_ratio,signature_trick_1,signature_trick_2,signature_trick_3,source_scope
d0eb63d0-3e59-5d51-a114-7856e49d9600,A GRAVEL,,,,,,,,,,,,,,,,,,,
f26c8661-e93f-5f0f-a5b5-25765c5aef9e,A Inteman,,,,,,,,,,,,,,,,,,,
01419344-6968-5902-ac1c-5154b86990e4,A Jolicour,,,,,,,,,,,,,,,,,,,
dfb6e564-170b-5e8f-9ae9-01c814009f90,A Lasken,,,,,,,,,,,,,,,,,,,
81a9f9d9-030e-5b86-81ec-66aa82861e65,A Smith,,,,,,,,,,,,,,,,,,,
f8e083bc-63ea-5703-a595-99e31a5d0ab2,A. Dukes,,,,,,,,,,,,,,,,,,,
267a554e-8cf3-5421-ad2a-65a59ea954ba,A. Fritch,,,,,,,,,,,,,,,,,,,
20857b3c-506a-57e4-90a0-fd36d4044d3a,A. Ronald,,,,,,,,,,,,,,,,,,,
f7454cc8-548c-53f2-958f-691d564474ec,A. Smirnov,,,,,,,,,,,,,,,,,,,
b5a0550c-595c-5fad-a2c3-8f3c098981f2,A. Wolff,,,,,,,,,,,,,,,,,,,
abc5f306-2435-5d98-bf54-533ca19b5694,A.J. Shultz,,,,,,,,,,,,,,,,,,,
840afecd-c646-5a4d-b09f-5cd9c3426c08,AJ Schultz,,,,,,,,,,,,,,,,,,,
071ff943-073b-5edb-b2b1-ae6bb1676176,AJ Shultz,,,,,,,,,,0,,,,,,,,,CANONICAL
b7a11079-a08c-5010-9f3f-35e35e46e966,Aaro Wichmann,,Finland,2002,2005,4,4,0,,,0,,,,,,,,,CANONICAL
eea1063c-fcc1-5849-9e35-592bdf13fd7b,Aaron De Glanville,,,,,,,,,,0,,,,,,,,,CANONICAL
ee4a31bf-24fa-5566-b19b-7f7a40e12d22,Aaron Dean,,United States,1999,1999,2,3,0,,,0,,,,,,,,,CANONICAL
58b8b504-077c-5a37-9e96-0bb405506e02,Aaron Finger,,United States,1998,1999,2,2,0,,,0,,,,,,,,,CANONICAL
3f12f7d5-75dc-5467-8aab-1c864defb1e8,Aaron Grauer,,United States,1999,1999,1,2,0,,,0,,,,,,,,,CANONICAL
0bf96614-8396-5c18-bdb0-501af1fa9c81,Aaron Gregg,,United States,1997,1997,4,9,0,,,0,,,,,,,,,CANONICAL
1018fba6-1fb7-5b2a-8a0e-0dcde74d1e26,Aaron Hunsburger,,United States,2005,2010,4,6,0,,,0,,,,,,,,,CANONICAL
766ba8a6-f9b8-5be2-b501-6a034451d8ac,Aaron Orton,,United States,2007,2007,1,2,0,,,0,,,,,,,,,CANONICAL
f64d170f-8792-5df0-bfd3-9a7813a7bf1a,Aaron Saucedo,,,,,,,,,,,,,,,,,,,
fea8f5a0-4e10-5161-8a35-9ac795141db3,Aaron Shepard,,United States,2003,2009,3,3,0,,,0,,,,,,,,,CANONICAL
554dec84-96e9-5de0-bdc2-8ec7b2b8d985,Aaron Vargas,,,,,,,,,,,,,,,,,,,
