name,nickname,year_inducted
Ken Shults,,1997
Ryan Mulroney,,1997
Evan Lovely,,1997
Peter Irish,,1997
Paul Cronin,,1997
Lon Smith,,1997
Markus Köhn,,1997
Tuan Vu,Disco Ninja,1998
Vasek Klouda,,1998
Honza Weber,,1998
Jani Markkanen,,1999
Sunil Jani,,1999
Jocelyn Sandoval,,2000
Krzysztof Sobótka,,2000
Sebastien Lefay,,2001
Oskari Forstén,,2001
Damien Coventry,,2002
Alexandre Bélanger,,2002
Aleksi Airinen,,2003
Eurik Lindner,,2003
Philippe Lessard,,2004
Jakob Wagner Revstein,,2004
Jan Zimmermann,,2005
Tuomas Riisalo,,2005
Diego Chávez,,2006
Paloma Mayo,,2006
Sunny Freeman-Genz,,2007
Tina Aeberli,,2007
Tina Lewis,,2008
Tim Vozar,,2008
Sebastien Verdy,,2009
Flip Derr,,2010
