name,nickname,year_inducted
Kenny Shults,The Enforcer,1992
Rick Reese,Rippin',1992
Peter Irish,The Executioner,1992
Dimitri Kavouras,Celsone,1992
Dennis Jones,D-Money,1992
Tim Kelley,Stikman,1992
Joey Schaeffer,Za Za,1992
Tuan Vu,Disco Ninja,1995
Eric Wulff,Iron Man,1995
Scott Davidson,Enlightener,1995
Greg Nelson,GF Smoothie,1995
Steve Kremer,Kosmo,1995
Josh Casey,Chiseler,1995
Paul Munger,Hu-Mongous,1995
Daryl Genz,Genzu Blades,1996
Ahren Gehrman,Torch,1996
Ryan Mulroney,Regulator,1997
Red Husted,Shred,1997
Tu Vu,Huge,1997
Chad Devlahovich,Big Add,1997
Noah Dubreuil,Merlin,1997
Dave Holton,Highlander,1997
Brian McKenzie,Kamakenzie,1998
Eric Windsor,Wicked,1998
Carol Wedemeyer,She blade,1998
Eli Piltz,Intergalactic,1998
Kyle Crawford,Kung Fu,1998
Sunil Jani,Tsunami,1999
Mika Koistinen,Iceman,1999
Toby Robinson,One,2000
Jonathan Schneider,Outsider,2000
Lon Smith,Shred On,2000
Allan Haggett,Allan,2001
Yacine Merzouk,Fiend,2001
Richie Abshire,Renegade,2001
Sebastien Duschesne,Hurricane,2001
Gordon Scott Bevier,Flash,2001
Honza Weber,Webslinger,2002
Ales Zelinka,The Man of Steel,2002
Jim Penske,Pimpske,2002
Bryan Fournier,Blackjack,2002
Vaclav (Vasek) Klouda,Super Glue,2002
Jere Vainikka,Smooth Criminal,2003
Yves Kreil,Krusher,2003
Felix Zenger,Stone Cold,2003
Tuukka Antikainen,Tko,2003
Dylan Fry,Stylon Dylon,2004
Nick Laroche,Slick Nick,2004
Johnny Murphy,Magic Feet (J$),2004
Jorden Moir,The Destroyer,2004
Lasse Salmenhaara,,2004
Jere Linnanen,Scary,2004
Toni Paakkonen,The Beast,2004
Juho Marjo,Super,2005
Mikko Lepisto,Uniqueo,2005
Karim Daouk,Special K,2005
Phillip Morrison,Red Rocket,2006
Aleksi Airinen,Air,2006
Tina Aberli,Swiss Miss,2006
Damian Gielnicki,Twister,2007
Sergey Kozlov,Kalashnikov,2007
Serge Kaldany,Cerberus,2007
David Clavens,Cleaver,2007
Arek Dzudzinski,Hi-Tek,2008
Nick Landes,The Praying Mantis,2009
Anssi Sundberg,Accelerator,2009
Milan Benda,Megatron,2009
Evan Gatesman,Silencer,2010
Olav Piwowar,Anaconda,2011
Jay Boychuk,(the) Creator,2011
Marcin Bujko,Stylish,2012
Lauri Airinen,Madness,2012
Jindra Smola,FootZepp,2013
Rene Ruhr,Collider,2013
Johnny Suderman,The Canadian Hero,2013
Mathias Blau,The Matrix,2014
Nick Polini,Houdini,2017
Dominik Šimků,Nunchaku,2018
Taishi Ishida,Shuriken,2018
Rafał Kaleta,Killa,2020
Christopher Schillem,The Machine,2021
Pawel Nowak,Dynomite,2021
Dante Diotallevi,The Inferno,2024
Jakub Mościszewski,Endurance,2025
