section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location,source_ref
Highest Official Scores,"Singles Consecutive 20,000+ Club",101,Consecutive Kicks,Open Singles,,1.0,Ted Martin,,63326.0,Open World Record,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",102,Consecutive Kicks,Open Singles,,2.0,Gary Lautt,,52355.0,Former Open World Record,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",103,Consecutive Kicks,Open Singles,,3.0,Andy Linder,,36230.0,Former Open World Record,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",104,Consecutive Kicks,Open Singles,,4.0,Garrett Young,,25457.0,,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",105,Consecutive Kicks,Women's Singles,,5.0,Constance Constable,,24713.0,Women's World Record,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",106,Consecutive Kicks,Open Singles,,6.0,Pat Castle,,23990.0,,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",107,Consecutive Kicks,Open Singles,,7.0,Fred Barnum,,21021.0,,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",108,Consecutive Kicks,Women's Singles,,8.0,Tricia George,,20717.0,Former Women's World Record,,,,fb-milestones.txt
Highest Official Scores,"Singles Consecutive 20,000+ Club",109,Consecutive Kicks,Open Singles,,9.0,Derrick Fogle,,20004.0,,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,201,Consecutive Kicks,Open Singles Timed,,1.0,Andy Linder,,1019.0,Open World Record,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,202,Consecutive Kicks,Open Singles Timed,,2.0,Ken Shults,,940.0,,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,203,Consecutive Kicks,Open Singles Timed,,3.0,Sean Flynn,,884.0,,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,204,Consecutive Kicks,Open Singles Timed,,4.0,Gary Lautt,,865.0,Former Open World Record,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,205,Consecutive Kicks,Open Singles Timed,,5.0,Brian McKenzie,,853.0,,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,206,Consecutive Kicks,Open Singles Timed,,6.0,Derrick Fogle,,847.0,,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,207,Consecutive Kicks,Open Singles Timed,,7.0,Ted Martin,,833.0,,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,208,Consecutive Kicks,Women's Singles Timed,,8.0,Ida Fogle,,804.0,Women's World Record,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,209,Consecutive Kicks,Open Singles Timed,,9.0,Scott Davidson,,794.0,,,,,fb-milestones.txt
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,210,Consecutive Kicks,Open Singles Timed,,9.0,Eric Wulff,,794.0,,,,,fb-milestones.txt
Highest Official Scores,"Doubles Consecutive 20,000+ Teams",301,Consecutive Kicks,Open Doubles,,1.0,Gary Lautt,Tricia George,132011.0,Open World Record,,,,fb-milestones.txt
Highest Official Scores,"Doubles Consecutive 20,000+ Teams",302,Consecutive Kicks,Open Doubles,,2.0,Ted Martin,Andy Linder,100001.0,Former Open World Record,,,,fb-milestones.txt
Highest Official Scores,"Doubles Consecutive 20,000+ Teams",303,Consecutive Kicks,Open Doubles,,3.0,Jim Caveney,Gary Lautt,75000.0,Former Open World Record,,,,fb-milestones.txt
Highest Official Scores,"Doubles Consecutive 20,000+ Teams",304,Consecutive Kicks,Women's Doubles,,4.0,Constance Constable,Tricia George,34543.0,Women's World Record,,,,fb-milestones.txt
Highest Official Scores,"Doubles Consecutive 20,000+ Teams",305,Consecutive Kicks,Women's Doubles,,5.0,Constance Constable,Marie Elsner,21025.0,Former Women's World Record,,,,fb-milestones.txt
Highest Official Scores,"Doubles Consecutive 20,000+ Teams",306,Consecutive Kicks,Open Doubles,,6.0,Tricia George,Andy Linder,20000.0,,,,,fb-milestones.txt
Official World Records,Current Official World Records,401,Consecutive Kicks,Women's Singles,,,Constance Constable,,24713.0,Women’s Singles World Record,1998-04-18,1998 Women’s Singles Footbag Consecutive Fest,"California Athletic Club, Monterey, California",fb-milestones.txt
Official World Records,Current Official World Records,402,Consecutive Kicks,Open Singles,,,Ted Martin,,63326.0,Open Singles World Record,1997-06-14,1997 Midwest Regional Footbag Championships,"Lions Park, Mount Prospect, Illinois",fb-milestones.txt
Official World Records,Current Official World Records,403,Consecutive Kicks,Women's Singles Timed,,,Ida Bettis-Fogle,,804.0,Women’s Singles Timed World Record,1997-08-11,1997 World Footbag Championships,"Westmoreland Park, Portland, Oregon",fb-milestones.txt
Official World Records,Current Official World Records,404,Consecutive Kicks,Open Singles Timed,,,Andy Linder,,1019.0,Open Singles Timed World Record,1996-06-07,1996 Midwest Regional Footbag Championships,"Mount Prospect, Illinois",fb-milestones.txt
Official World Records,Current Official World Records,405,Consecutive Kicks,Women's Doubles,,,Constance Constable,Tricia George,34543.0,Women’s Doubles World Record,1995-02-18,1995 Heart of Footbag Freestyle Tournament,"Eagle’s Hall Rec Center, Portland, Oregon",fb-milestones.txt
Official World Records,Current Official World Records,406,Consecutive Kicks,Open Doubles,,,Gary Lautt,Tricia George,132011.0,Open Doubles World Record,1998-03-21/1998-03-22,1998 Chico Challenge,"Lia Way Rec Center, Chico, California",fb-milestones.txt
Official World Records,Current Official World Records,407,Consecutive Kicks,Women's Doubles One-Pass,,,Constance Constable,Tricia George,6136.0,Women’s Doubles One-Pass World Record,1987-07-28,1987 World Footbag Championships,"Golden Recreation Center, Golden, Colorado",fb-milestones.txt
Official World Records,Current Official World Records,408,Consecutive Kicks,Open Doubles One-Pass,,,Ted Martin,Andy Linder,27956.0,Open Doubles One-Pass World Record,1993-04-03,1993 RecPlex Footbag Consecutive Challenge,"RecPlex Fitness Center, Mount Prospect, Illinois",fb-milestones.txt
Official World Records,Current Official World Records,409,Consecutive Kicks,Women's Doubles Distance One-Pass,,,Jody Welch,Tricia George,249.0,Women’s Doubles Distance One-Pass World Record,1992-07-28,1992 World Footbag Championships,"Colorado School of Mines Athletic Field, Golden, Colorado",fb-milestones.txt
Official World Records,Current Official World Records,410,Consecutive Kicks,Open Doubles Distance One-Pass,,,Ted Martin,Andy Linder,622.0,Open Doubles Distance One-Pass World Record,1995-03-10,1995 St. Patrick’s Footbag Fest,"Kishwaukee Community College, Malta, Illinois",fb-milestones.txt
Official World Records,Current Official World Records,411,Consecutive Kicks,Open Doubles Timed Ten-Minute One-Pass,,,Tricia George,Paul Vorvick,1415.0,Open Doubles Ten-Minute Timed One-Pass World Record,2006-08-05,Fun in the Park,"Wilsonville, Oregon",fb-milestones.txt
Official World Records,Current Official World Records,412,Consecutive Kicks,Open Doubles One-Up-Five-Down,,,Ted Martin,Andy Linder,23251.0,Open Doubles One-Up-Five-Down World Record,1993,,"RecPlex Fitness Center, Mount Prospect, Illinois",fb-milestones.txt
World Record Progression,Open Singles Consecutive,501,Consecutive Kicks,Open Singles,1976.0,,Terry Pierson,,344.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,502,Consecutive Kicks,Open Singles,1976.0,,John Stalberger,,493.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,503,Consecutive Kicks,Open Singles,1976.0,,John Stalberger,,644.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,504,Consecutive Kicks,Open Singles,1977.0,,John Stalberger,,828.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,505,Consecutive Kicks,Open Singles,1978.0,,John Stalberger,,1518.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,506,Consecutive Kicks,Open Singles,1979.0,,Jack Schoolcraft,,2705.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,507,Consecutive Kicks,Open Singles,1980.0,,Ken Shults,,4515.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,508,Consecutive Kicks,Open Singles,1981.0,,Ken Shults,,7138.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,509,Consecutive Kicks,Open Singles,1982.0,,Ken Shults,,13901.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,510,Consecutive Kicks,Open Singles,1983.0,,Andy Linder,,17872.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,511,Consecutive Kicks,Open Singles,1985.0,,Andy Linder,,21135.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,512,Consecutive Kicks,Open Singles,1985.0,,Andy Linder,,28239.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,513,Consecutive Kicks,Open Singles,1985.0,,Andy Linder,,32598.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,514,Consecutive Kicks,Open Singles,1986.0,,Andy Linder,,36230.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,515,Consecutive Kicks,Open Singles,1988.0,,Ted Martin,,48825.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Consecutive,516,Consecutive Kicks,Open Singles,1993.0,,Ted Martin,,51155.0,,,,,fb-milestones.txt
