event_name,year,location,category,division,place,player_1,player_2,score,notes
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Open Sgls Net,1,John Stalberger,,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Open Sgls Net,2,Kenny Shults,,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Open Sgls Net,3,Dave Hill,,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Open Dbls Net,1,Mag Hughes,Billy Hayne,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Open Dbls Net,2,John Stalberger,Max Smith Jr.,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Open Dbls Net,3,Kenny Shults,Walt Mason,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Women's Dbls Net,1,Rita Buckley,Misty Helme,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Women's Dbls Net,2,,,,
Mike Marshall Memorial,1981,"San Jose, California, United States",NET,Women's Dbls Net,3,Lori Jean Conover,Jennifer Reese,,
Mike Marshall Memorial,1981,"San Jose, California, United States",CONSECUTIVE,Open Sgls Consecutive,1,Gary Laut,,,
Mike Marshall Memorial,1981,"San Jose, California, United States",CONSECUTIVE,Open Team Consecutive,1,Gary Laut / Jim Caveney / Kalia Klaban,,,
Mike Marshall Memorial,1981,"San Jose, California, United States",CONSECUTIVE,Women's Sgls Consecutive,1,Kalia Klaban,,,
