event_name,year,division,place,player_1,player_2
Floodbag Finals,1985,Open Singles Net,1,Dave Hill,
Floodbag Finals,1985,Open Singles Net,2,Tim Nelson,
Floodbag Finals,1985,Open Doubles Net,1,Dave Hill,Tim Nelson
Floodbag Finals,1985,Open Doubles Net,2,Jim Fitzgerald,Dennis Ross
Floodbag Finals,1985,Womens Open Singles Net,1,Shannon Aubin,
Floodbag Finals,1985,Womens Open Singles Net,2,Jodi Sebastian,
Floodbag Finals,1985,Intermediate Singles Net,1,Scott Jenda,
Floodbag Finals,1985,Intermediate Singles Net,2,Randy Gaunce,
Floodbag Finals,1985,Singles Consecutive,1,Tim Nelson,
Floodbag Finals,1985,Singles Consecutive,2,Scott Jenda,
Floodbag Finals,1985,Doubles Consecutive,1,Tim Nelson,Scott Jenda
