event_name,year,division,place,player_1,player_2
St. Valentines Day Footbag Massacre,1985,Open Singles Net,1,Greg Cortopassi,
St. Valentines Day Footbag Massacre,1985,Open Singles Net,2,Bill Bethurum,
St. Valentines Day Footbag Massacre,1985,Open Doubles Net,1,Jimmy Caveney,Greg Cortopassi
St. Valentines Day Footbag Massacre,1985,Open Doubles Net,2,Bill Bethurum,Rick Kaufman
St. Valentines Day Footbag Massacre,1985,Intermediate Singles Net,1,Doug Krob,
St. Valentines Day Footbag Massacre,1985,Intermediate Doubles Net,1,Peter Shunny,Doug Krob
St. Valentines Day Footbag Massacre,1985,Open Freestyle Singles,1,Peter Shunny,
St. Valentines Day Footbag Massacre,1985,Open Freestyle Singles,2,Jimmy Caveney,
St. Valentines Day Footbag Massacre,1985,Open Freestyle Doubles,1,Peter Shunny,Doug Krob
St. Valentines Day Footbag Massacre,1985,Singles Consecutive,1,Greg Cortopassi,
St. Valentines Day Footbag Massacre,1985,Singles Consecutive,2,Peter Shunny,
