event_name,year,division,place,player_1,player_2
Western National Indoor Footbag Freestyle Championship,1985,Open Singles Net,1,Andy Linder,
Western National Indoor Footbag Freestyle Championship,1985,Open Singles Net,2,Eric Michaels,
Western National Indoor Footbag Freestyle Championship,1985,Open Doubles Net,1,Andy Linder,Eric Michaels
Western National Indoor Footbag Freestyle Championship,1985,Open Doubles Net,2,Jay Clatworthy,R.J. Lareau
Western National Indoor Footbag Freestyle Championship,1985,Beginner Singles Net,1,Tom Tangalos,
Western National Indoor Footbag Freestyle Championship,1985,Beginner Singles Net,2,Eddie Sarabia,
Western National Indoor Footbag Freestyle Championship,1985,Open Singles Consecutive,1,Mike Peterson,
Western National Indoor Footbag Freestyle Championship,1985,Open Singles Consecutive,2,Jay Moldenhauer,
Western National Indoor Footbag Freestyle Championship,1985,Beginner Singles Consecutive,1,Tom Tangalos,
Western National Indoor Footbag Freestyle Championship,1985,Beginner Singles Consecutive,2,Eddie Sarabia,
