event_name,year,location,category,division,place,player_1,player_2,score,notes
California State Footbag Championships,1993,"California, United States",NET,Open Singles Footbag Net,1,Dan Borsky,,,
California State Footbag Championships,1993,"California, United States",NET,Open Singles Footbag Net,2,Dave Robinson,,,
California State Footbag Championships,1993,"California, United States",NET,Open Singles Footbag Net,3,Brent Stewart,,,
California State Footbag Championships,1993,"California, United States",NET,Open Doubles Footbag Net,1,Dan Borsky,Chris Routh,,
California State Footbag Championships,1993,"California, United States",NET,Open Doubles Footbag Net,2,Kenny Shults,Randy Mulder,,
California State Footbag Championships,1993,"California, United States",NET,Open Doubles Footbag Net,3,Chris Ott,Jim Caveney,,
California State Footbag Championships,1993,"California, United States",NET,Women's Singles Footbag Net,1,Lisa McDaniel,,,
California State Footbag Championships,1993,"California, United States",NET,Women's Singles Footbag Net,2,Constance Constable,,,
California State Footbag Championships,1993,"California, United States",NET,Women's Singles Footbag Net,3,Julie McClurg,,,
California State Footbag Championships,1993,"California, United States",NET,Women's Doubles Footbag Net,1,Julie McClurg,Lisa McDaniel,,
California State Footbag Championships,1993,"California, United States",NET,Women's Doubles Footbag Net,2,Constance Constable,Lisa Monti,,
California State Footbag Championships,1993,"California, United States",NET,Women's Doubles Footbag Net,3,Kendall Kic,Tricia George,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Open Singles Footbag Freestyle,1,Kenny Shults,,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Open Singles Footbag Freestyle,2,Dennis Ross,,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Open Singles Footbag Freestyle,3,Etienne Constable,,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Open Team Footbag Freestyle,1,Kenny Shults,Rick Reese,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Open Team Footbag Freestyle,2,Dennis Ross,Jon Lind,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Open Team Footbag Freestyle,3,Sam Conlon,Eric Bartholomay,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Women's Singles Footbag Freestyle,1,Tricia George,,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Women's Singles Footbag Freestyle,2,Sam Conlon,,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Women's Singles Footbag Freestyle,3,Kendall Kic,,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Women's Team Footbag Freestyle,1,Lisa McDaniel,Sam Conlon,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Women's Team Footbag Freestyle,2,Jody Welch,Tricia George,,
California State Footbag Championships,1993,"California, United States",FREESTYLE,Women's Team Footbag Freestyle,3,Constance Constable,Julie Symons,,
California State Footbag Championships,1993,"California, United States",GOLF,Open Footbag Golf,1,Jim Caveney,,,
California State Footbag Championships,1993,"California, United States",GOLF,Open Footbag Golf,2,Reed Gray,,,
California State Footbag Championships,1993,"California, United States",GOLF,Open Footbag Golf,3,Bill Langbehn,,,
