event_name,year,location,category,division,place,player_1,player_2,score,notes
Heartland Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,1,Scott Davidson,Steve Smith,,
Heartland Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,2,Eric Bartholomay,Sam Conlon,,
Heartland Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,3,Derrick Fogle,Dan Judd,,
Heartland Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,1,Randy Mulder,,,
Heartland Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,2,Steve Smith,,,
Heartland Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,3,Sean Flynn,,,
Heartland Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,1,Kenny Shults,Randy Mulder,,
Heartland Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,2,Dan Judd,Davie Piper,,
Heartland Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,3,Shane Floyd,Scott Warden,,
Heartland Regional Footbag Championships,1993,,OVERALL,Open Overall,1,Steve Smith,,,
Heartland Regional Footbag Championships,1993,,OVERALL,Open Overall,2,Eric Bartholomay,,,
Heartland Regional Footbag Championships,1993,,OVERALL,Open Overall,3,Davie Piper,,,
Heartland Regional Footbag Championships,1993,,OVERALL,Open Overall,4,Scott Davidson,,,
Heartland Regional Footbag Championships,1993,,OVERALL,Open Overall,5,Dan Judd,,,
Heartland Regional Footbag Championships,1993,,CONSECUTIVE,Open Singles 5-Minute Timed Footbag Consecutive,1,Derrick Fogle,,,
Heartland Regional Footbag Championships,1993,,CONSECUTIVE,Open Singles 5-Minute Timed Footbag Consecutive,2,Steve Smith,,,
Heartland Regional Footbag Championships,1993,,CONSECUTIVE,Open Singles 5-Minute Timed Footbag Consecutive,3,Dan Judd,,,
Heartland Regional Footbag Championships,1993,,CONSECUTIVE,Open 10-Minute Timed One-pass Consecutive,1,Dan Judd,Davie Piper,,
Heartland Regional Footbag Championships,1993,,CONSECUTIVE,Open 10-Minute Timed One-pass Consecutive,2,Steve Smith,Scott Davidson,,
Heartland Regional Footbag Championships,1993,,CONSECUTIVE,Open 10-Minute Timed One-pass Consecutive,3,Shane Floyd,Derrick Fogle,,
Heartland Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,1,Davie Piper,,,
Heartland Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,2,Dan Judd,,,source error: p2 and p3 both Dan Judd in source
Heartland Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,3,Dan Judd,,,source error: p2 and p3 both Dan Judd in source
