event_name,year,location,category,division,place,player_1,player_2,score,notes
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Open Singles Footbag Net,1,Danny Borsky,,,source name: Danny Borsky
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Open Singles Footbag Net,2,Kenny Shults,,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Open Singles Footbag Net,3,Randy Mulder,,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Open Doubles Footbag Net,1,Kenny Shults,Randy Mulder,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Open Doubles Footbag Net,2,Brent Welch,Jim Caveney,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Open Doubles Footbag Net,3,Danny Borsky,Chris Routh,,source name: Danny Borsky
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Mixed Doubles Footbag Net,1,Jody Welch,Brent Welch,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Mixed Doubles Footbag Net,2,Lisa McDaniel,Dan Borsky,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Mixed Doubles Footbag Net,3,Tricia George,Chris Routh,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Women's Doubles Footbag Net,1,Tricia George,Jody Welch,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Women's Doubles Footbag Net,2,Lisa McDaniel,Julie McClurg,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Women's Doubles Footbag Net,3,Heather Thomas,Heather Muggleton,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Singles Footbag Net,1,Becca English,,,unresolved: Becca English (possibly Becca English-Ross)
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Singles Footbag Net,2,Steve Godfrey,,,
6th Annual Louisiana State Footbag Championships,1993,"Louisiana, United States",NET,Singles Footbag Net,3,Adrian Herrera,,,
