event_name,year,location,category,division,place,player_1,player_2,score,notes
Midwest Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,1,Randy Mulder,Yves Archambault,,
Midwest Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,2,Davie Piper,Shane Floyd,,
Midwest Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,3,Steve Smith,Scott Davidson,,
Midwest Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,1,Randy Mulder,,,
Midwest Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,2,Yves Archambault,,,
Midwest Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,3,Bob Nicholson,,,
Midwest Regional Footbag Championships,1993,,FREESTYLE,Open Doubles Footbag Freestyle,1,Jay Moldenhauer,Greg Nelson,,
Midwest Regional Footbag Championships,1993,,FREESTYLE,Open Doubles Footbag Freestyle,2,Steve Smith,Scott Davidson,,
Midwest Regional Footbag Championships,1993,,FREESTYLE,Open Doubles Footbag Freestyle,3,Ida Fogle,Derrick Fogle,,
Midwest Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,1,Derrick Fogle,,,
Midwest Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,2,Greg Nelson,,,
Midwest Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,3,Jay Moldenhauer,,,
Midwest Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,1,Davie Piper,,,
Midwest Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,2,Shane Floyd,,,
Midwest Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,3,Ida Fogle,,,
Midwest Regional Footbag Championships,1993,,CONSECUTIVE,Open 5-Minute Timed Footbag Consecutive,1,Derrick Fogle,,,
Midwest Regional Footbag Championships,1993,,CONSECUTIVE,Open 5-Minute Timed Footbag Consecutive,2,Steve Smith,,,
Midwest Regional Footbag Championships,1993,,CONSECUTIVE,Open 5-Minute Timed Footbag Consecutive,3,Ida Fogle,,,
