event_name,year,location,category,division,place,player_1,player_2,score,notes
Northern Illinois Footbag Open,1993,"Illinois, United States",NET,Open Singles Footbag Net,1,Kenny Shults,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",NET,Open Singles Footbag Net,2,Steve Smith,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",NET,Open Singles Footbag Net,3,Brad Smith,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",NET,Open Doubles Footbag Net,1,Kenny Shults,Randy Mulder,,
Northern Illinois Footbag Open,1993,"Illinois, United States",NET,Open Doubles Footbag Net,2,Steve Smith,Scott Davidson,,
Northern Illinois Footbag Open,1993,"Illinois, United States",NET,Open Doubles Footbag Net,3,Brad Smith,Ted Martin,,
Northern Illinois Footbag Open,1993,"Illinois, United States",CONSECUTIVE,Open Singles 5-Minute Timed Footbag Consecutive,1,Derrick Fogle,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",CONSECUTIVE,Open Singles 5-Minute Timed Footbag Consecutive,2,Steve Smith,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",CONSECUTIVE,Open Singles 5-Minute Timed Footbag Consecutive,3,Brad Smith,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",GOLF,Open Footbag Golf,1,Paul Stromberg,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",GOLF,Open Footbag Golf,2,Steve Smith,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",GOLF,Open Footbag Golf,3,Brad Smith,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",FREESTYLE,Open Singles Footbag Freestyle,1,Derrick Fogle,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",FREESTYLE,Open Singles Footbag Freestyle,2,Steve Smith,,,
Northern Illinois Footbag Open,1993,"Illinois, United States",FREESTYLE,Open Singles Footbag Freestyle,3,Brad Smith,,,
