event_name,year,location,category,division,place,player_1,player_2,score,notes
Southern Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,1,Tim Vozar,,,
Southern Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,2,Dave Spears,,,
Southern Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,3,Mike Byron,,,
Southern Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,1,Dave Spears,James Roberts,,
Southern Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,2,Dave Piper,Sam Conlon,,source name: Dave Piper
Southern Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,3,Tim Vozar,James Roberts,,
Southern Regional Footbag Championships,1993,,NET,Women's Singles Footbag Net,1,Lisa McDaniel,,,
Southern Regional Footbag Championships,1993,,NET,Women's Singles Footbag Net,2,Kendall Kic,,,
Southern Regional Footbag Championships,1993,,NET,Women's Singles Footbag Net,3,Carla Cheshire,,,
Southern Regional Footbag Championships,1993,,NET,Women's Doubles Footbag Net,1,Heather Thomas,Scott Milne,,anomaly: Women's Doubles with male partner (Scott Milne) as recorded in source
Southern Regional Footbag Championships,1993,,NET,Women's Doubles Footbag Net,2,Kendall Kic,Tim Vozar,,anomaly: Women's Doubles with male partner (Tim Vozar) as recorded in source
Southern Regional Footbag Championships,1993,,NET,Women's Doubles Footbag Net,3,Carla Cheshire,Davie Piper,,
Southern Regional Footbag Championships,1993,,CONSECUTIVE,Open 5-Minute Timed Footbag Consecutive,1,James Roberts,,,
Southern Regional Footbag Championships,1993,,CONSECUTIVE,Open 5-Minute Timed Footbag Consecutive,2,Dave Piper,,,source name: Dave Piper
Southern Regional Footbag Championships,1993,,CONSECUTIVE,Open 5-Minute Timed Footbag Consecutive,3,Tim Vozar,,,
Southern Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,1,Tim Vozar,,,
Southern Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,2,Dave Piper,,,source name: Dave Piper
Southern Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,3,James Roberts,,,
Southern Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,1,James Roberts,,,
Southern Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,2,Dennis Jones,,,
Southern Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,3,Tim Vozar,,,
Southern Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,1,Heather Thomas,Tim Vozar,,
Southern Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,2,Lisa McDaniel,Dennis Jones,,
Southern Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,3,Dave Piper,Scott Milne,,source name: Dave Piper
