event_name,year,location,category,division,place,player_1,player_2,score,notes
Eighth Annual Western Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,1,Dan Borsky,,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,2,Chris Routh,,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Open Singles Footbag Net,3,Eric Bartholomay,,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,1,Brent Welch,Jim Caveney,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,2,Dan Borsky,Lisa McDaniel,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Open Doubles Footbag Net,3,Jake Leong,Scott Cleere,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Women's Singles Footbag Net,1,Tricia George,,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Women's Singles Footbag Net,2,Lisa McDaniel,,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Women's Singles Footbag Net,3,Julie McClurg,,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Mixed Doubles Footbag Net,1,Dan Borsky,Lisa McDaniel,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Mixed Doubles Footbag Net,2,Brent Welch,Jody Welch,,
Eighth Annual Western Regional Footbag Championships,1993,,NET,Mixed Doubles Footbag Net,3,Julie McClurg,Jim Caveney,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,1,Greg Nelson,,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,2,Kenny Shults,,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Open Singles Footbag Freestyle,3,Dennis Ross,,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,1,Dennis Ross,Jon Lind,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,2,Kenny Shults,Rick Reese,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Open Team Footbag Freestyle,3,Brent Welch,Etienne Constable,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Women's Singles Footbag Freestyle,1,Tricia George,,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Women's Singles Footbag Freestyle,2,Sam Conlon,,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Women's Singles Footbag Freestyle,3,Kendall Kic,,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Women's Team Footbag Freestyle,1,Lisa McDaniel,Sam Conlon,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Women's Team Footbag Freestyle,2,Jody Welch,Tricia George,,
Eighth Annual Western Regional Footbag Championships,1993,,FREESTYLE,Women's Team Footbag Freestyle,3,Heather Thomas,Julie McClurg,,
Eighth Annual Western Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,1,Jon Lind,,,
Eighth Annual Western Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,2,Reed Gray,,,
Eighth Annual Western Regional Footbag Championships,1993,,GOLF,Open Footbag Golf,3,John Caveney,,,source typo: John Caveney likely = Jim Caveney
Eighth Annual Western Regional Footbag Championships,1993,,GOLF,Women's Footbag Golf,1,Tricia George,,,
Eighth Annual Western Regional Footbag Championships,1993,,GOLF,Women's Footbag Golf,2,Julie McClurg,,,
Eighth Annual Western Regional Footbag Championships,1993,,GOLF,Women's Footbag Golf,3,Karla Clark,,,
