event_name,year,location,category,division,place,player_1,player_2,score,notes
1994 European Championships,1994,,NET,Open Singles Footbag Net,1,Torbin Wigge,,,
1994 European Championships,1994,,NET,Open Singles Footbag Net,2,Hannes Mahler,,,
1994 European Championships,1994,,NET,Open Singles Footbag Net,3,Matthias Wigge,,,
1994 European Championships,1994,,NET,Open Doubles Footbag Net,1,Torbin Wigge,Matthias Wigge,,
1994 European Championships,1994,,NET,Open Doubles Footbag Net,2,Ulf Bevier,Tore Nordman,,
1994 European Championships,1994,,NET,Open Doubles Footbag Net,3,Hannes Mahler,Christian ?,,unresolved: Christian ?
1994 European Championships,1994,,FREESTYLE,Open Singles Footbag Freestyle,1,Rico Bevier,,,
1994 European Championships,1994,,FREESTYLE,Open Singles Footbag Freestyle,2,Hannes Mahler,,,
1994 European Championships,1994,,FREESTYLE,Open Singles Footbag Freestyle,3,Tore Nordman,,,
1994 European Championships,1994,,FREESTYLE,Open Team Footbag Freestyle,1,Rico Bevier,Hannes Mahler,,
1994 European Championships,1994,,FREESTYLE,Open Team Footbag Freestyle,2,Axel ?,Stefan ?,,unresolved: Axel ? / Stefan ?
1994 European Championships,1994,,FREESTYLE,Open Team Footbag Freestyle,3,Ulf Bevier,Stefan ?,,unresolved: Stefan ?
1994 European Championships,1994,,GOLF,Open Footbag Golf,1,Torbin Wigge,,,
1994 European Championships,1994,,GOLF,Open Footbag Golf,2,Tore Nordman,,,
1994 European Championships,1994,,GOLF,Open Footbag Golf,3,Stefan ?,,,unresolved: Stefan ?
