event_name,year,location,category,division,place,player_1,player_2,score,notes
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Open Singles Net,1,Peter Shunny,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Open Singles Net,2,John East,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Open Singles Net,3,Doug Cassidy,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Open Doubles Net,1,Peter Shunny,John East,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Open Doubles Net,2,Doug Cassidy,Alan Cook,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Open Doubles Net,3,Jeff Haas,Gary Linder,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",FREESTYLE,Freestyle,1,Andy Linder,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",FREESTYLE,Freestyle,2,Jeff Haas,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",FREESTYLE,Freestyle,3,Jon Shultz,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Womens Singles Net,1,Julie Reed,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Womens Singles Net,2,Tami Peltz,,,FBW-V2N1
Western States Footbag Championships 1980,1980,"Corvallis, Oregon, United States",NET,Womens Singles Net,3,Cindy Miller,,,FBW-V2N1
