event_name,year,location,category,division,place,player_1,player_2,score,notes
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Open Singles Net,1,Peter Shunny,,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Open Singles Net,2,John East,,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Open Singles Net,3,Doug Cassidy,,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Open Doubles Net,1,Alan Cook,Doug Cassidy,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Open Doubles Net,2,John East,Peter Shunny,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Open Doubles Net,3,Jeff Haas,Gary Linder,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",FREESTYLE,Freestyle,1,Andy Linder,,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",FREESTYLE,Freestyle,2,Jeff Haas,,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",FREESTYLE,Freestyle,3,Jon Shultz,,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Womens Singles,1,Julie Reed,,,IFAB-RB-P1
World Footbag Championships 1980 (IFAB),1980,"Memphis, Tennessee, United States",NET,Mixed Doubles,1,Peter Shunny,Julie Reed,,IFAB-RB-P1
