event_name,year,location,category,division,place,player_1,player_2,score,notes
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Open Singles Net,1,Peter Shunny,,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Open Singles Net,2,John East,,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Open Singles Net,3,Mike Marshall,,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Open Doubles Net,1,Alan Cook,Doug Cassidy,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Open Doubles Net,2,Peter Shunny,John East,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Open Doubles Net,3,Mike Marshall,Andy Linder,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Consecutive Kicks Open,1,Ted Huff,,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Distance One-Step,1,Brent Welch,,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Womens Singles Net,1,Tami Peltz,,,IFAB-RB-P1; FBW-V2N3
World Footbag Championships 1981 (IFAB/FBW),1981,"San Dimas, California, United States",NET,Mixed Doubles Net,1,John East,Cindy Miller,,IFAB-RB-P1; FBW-V2N3
