event_name,year,division,place,player_1,player_2
1982 NHSA National Championships,1982,Open Sgls Net,1,Kenny Shults,
1982 NHSA National Championships,1982,Open Sgls Net,2,Billy Hayne,
1982 NHSA National Championships,1982,Open Sgls Net,3,Brace Guettich,
1982 NHSA National Championships,1982,Open Dbls Net,1,Mag Hughes,Billy Hayne
1982 NHSA National Championships,1982,Open Dbls Net,2,Nancy Reynolds,
1982 NHSA National Championships,1982,Open Dbls Net,3,Cheryl Hughes,
1982 NHSA National Championships,1982,Women's Sgls Net,1,Lori Jean Tarr,
1982 NHSA National Championships,1982,Women's Sgls Net,2,Nancy Reynolds,
1982 NHSA National Championships,1982,Women's Sgls Net,3,Cheryl Hughes,
1982 NHSA National Championships,1982,Women's Dbls Net,1,Cheryl Hughes,Lori Jean Tarr
1982 NHSA National Championships,1982,Women's Dbls Net,2,Tricia George,Judy Grace
1982 NHSA National Championships,1982,Women's Dbls Net,3,Nancy Reynolds,Constance Constable
1982 NHSA National Championships,1982,Mixed Dbls Net,1,Lori Jean Tarr,Billy Hayne
1982 NHSA National Championships,1982,Mixed Dbls Net,2,Cheryl Hughes,Mag Hughes
1982 NHSA National Championships,1982,Mixed Dbls Net,3,Tricia George,Dave Robinson
1982 NHSA National Championships,1982,Open Sgls Freestyle,1,Kenny Shults,
1982 NHSA National Championships,1982,Open Team Freestyle,1,Gary Lautt,Mag Hughes
1982 NHSA National Championships,1982,Open Team Freestyle,1,Jim Caveney,Greg Cortopassi
1982 NHSA National Championships,1982,Open Team Freestyle,3,Jack Schoolcraft,Will Squire
1982 NHSA National Championships,1982,Open Sgls Consecutive,1,Andy Linder,
1982 NHSA National Championships,1982,Open Golf,1,Kenny Shults,
1983 WFA National Championships,1983,Open Sgls Net,1,Kenny Shults,
1983 WFA National Championships,1983,Open Sgls Net,2,Andy Linder,
1983 WFA National Championships,1983,Open Sgls Net,3,Gary Lautt,
1983 WFA National Championships,1983,Open Golf,1,Mike Harding,
1983 WFA National Championships,1983,Open Golf,2,Kenny Shults,
1983 WFA National Championships,1983,Open Golf,3,Greg Cortopassi,
1983 NHSA National Championships,1983,Open Sgls Net,1,Mag Hughes,
1983 NHSA National Championships,1983,Open Sgls Net,2,Kenny Shults,
1983 NHSA National Championships,1983,Open Sgls Net,3,Steve Fennell,
1983 NHSA National Championships,1983,Open Dbls Net,1,Kenny Shults,Mike Harding
1983 NHSA National Championships,1983,Open Dbls Net,2,Dave Hill,Dave Robinson
1983 NHSA National Championships,1983,Open Dbls Net,3,Bob Swerdlick,Mike Puderbaugh
1983 NHSA National Championships,1983,Women's Sgls Net,1,Lori Jean Tarr,
1983 NHSA National Championships,1983,Women's Sgls Net,2,Nancy Reynolds,
1983 NHSA National Championships,1983,Women's Sgls Net,3,Tricia George,
1983 NHSA National Championships,1983,Women's Dbls Net,1,Lori Jean Tarr,Rita Buckley
1983 NHSA National Championships,1983,Mixed Dbls Net,1,Lori Jean Tarr,Bruce Guettich
1983 NHSA National Championships,1983,Mixed Dbls Net,2,Shannon Aubin,Dave Robinson
1983 NHSA National Championships,1983,Mixed Dbls Net,3,Tricia George,Jim Fitzgerald
1983 NHSA National Championships,1983,Open Sgls Freestyle,1,Jack Schoolcraft,
1983 NHSA National Championships,1983,Open Sgls Freestyle,2,Jim Caveney,
