event_name,year,location,division,place,player_name,score,notes
1985 World Footbag Championships,1985,Golden CO,Open 5-min. Speed Consecutives,1,Sean Flynn,799,
1985 World Footbag Championships,1985,Golden CO,Open 5-min. Speed Consecutives,2,Derrick Fogle,794,
1985 World Footbag Championships,1985,Golden CO,Open 5-min. Speed Consecutives,3,Eric M. Wulff,778,
1985 World Footbag Championships,1985,Golden CO,Open 5-min. Speed Consecutives,4,Jay Wininger,678,
1985 World Footbag Championships,1985,Golden CO,Women's 5-min. Speed Consecutives,1,Tricia George,761,
1985 World Footbag Championships,1985,Golden CO,Women's 5-min. Speed Consecutives,2,Sam Conlon,760,
1985 World Footbag Championships,1985,Golden CO,Women's 5-min. Speed Consecutives,3,Jody Welch,678,
1985 World Footbag Championships,1985,Golden CO,Women's 5-min. Speed Consecutives,4,Julie Symons,581,
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,1,Remi Kristensen,355,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,1,Allan Petersen,355,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,2,Yves Archambault,176,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,2,Davie Piper,176,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,3,Bruce Guettich,165,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,3,Peter Shunny,165,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,4,Eric M. Wulff,158,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Distance One-Pass Consecutives,4,Scott Cleere,158,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,1,Jody Welch,81,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,1,Tricia George,81,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,2,Julie Symons,79,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,2,Lisa McDaniel,79,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,3,Sam Conlon,12,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,3,Lisa Monti,12,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,4,Kelly Kelley,11,doubles
1985 World Footbag Championships,1985,Golden CO,Women's Doubles Distance One-Pass Consecutives,4,Tina Lewis,11,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Footbag Net,1,Randy Mulder,,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Footbag Net,1,Kenny Shults,,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Footbag Net,2,Alf Marcussen,,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Footbag Net,2,Brent Welch,,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Footbag Net,3,Remi Kristensen,,doubles
1985 World Footbag Championships,1985,Golden CO,Open Doubles Footbag Net,3,Allan Petersen,,doubles
