event_name,year,location,division,place,player_name,score,notes
1986 World Footbag Championships,1986,Golden CO,Singles Ultra Footbag Net,1,Kenny Shults,,
1986 World Footbag Championships,1986,Golden CO,Singles Ultra Footbag Net,2,Mag Hughes,,
1986 World Footbag Championships,1986,Golden CO,Singles Ultra Footbag Net,3,David Robinson,,
1986 World Footbag Championships,1986,Golden CO,Singles Ultra Footbag Net,4,John East,,
1986 World Footbag Championships,1986,Golden CO,Singles Ultra Footbag Net,5,Scott Cleere,,
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,1,Garry Griggs,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,1,Mag Hughes,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,2,Mike Harding,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,2,Kenny Shults,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,3,Bill Bethurum,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,3,Scott Cleere,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,4,Jimmy Caveney,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,4,David Robinson,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,5,Bruce Guettich,,doubles
1986 World Footbag Championships,1986,Golden CO,Doubles Ultra Footbag Net,5,Chris Ott,,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Singles Footbag Net,1,Tricia Sullivan,,
1986 World Footbag Championships,1986,Golden CO,Women's Singles Footbag Net,2,Marie Elsner,,
1986 World Footbag Championships,1986,Golden CO,Women's Singles Footbag Net,3,Trudy Archdale,,
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Net,1,Marie Elsner,,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Net,1,Paula Elsner,,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Net,2,Constance Reed,,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Net,2,Kim Era,,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Net,3,Tricia Sullivan,,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Net,3,Trudy Archdale,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,1,Tricia Sullivan,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,1,David Robinson,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,2,Trudy Archdale,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,2,Bruce Guettich,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,3,Colleen Minton,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,3,John East,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,4,Lisa McDaniels,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,4,Kenny Shults,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,5,Constance Reed,,doubles
1986 World Footbag Championships,1986,Golden CO,Mixed Doubles Footbag Net,5,Jimmy Caveney,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Singles Footbag Net,1,Garry Griggs,,
1986 World Footbag Championships,1986,Golden CO,Advanced Singles Footbag Net,2,Al Laverick,,
1986 World Footbag Championships,1986,Golden CO,Advanced Singles Footbag Net,3,Al Petersen,,
1986 World Footbag Championships,1986,Golden CO,Advanced Singles Footbag Net,4,Remi Kristensen,,
1986 World Footbag Championships,1986,Golden CO,Advanced Singles Footbag Net,5,Chris Routh,,
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,1,Ken Hamric,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,1,Andrew Williams,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,2,Al Laverick,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,2,Al Petersen,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,3,Tom Akin,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,3,Jim Hunsaker,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,4,Jon Lind,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,4,Dennis Ross,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,5,Jim Fitzgerald,,doubles
1986 World Footbag Championships,1986,Golden CO,Advanced Doubles Footbag Net,5,Jack Schoolcraft,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Freestyle,1,Jon Lind,,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Freestyle,2,Andy Linder,,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Freestyle,3,Kenny Shults,,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Freestyle,4,Jack Schoolcraft,,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Freestyle,5,Dennis Ross,,
1986 World Footbag Championships,1986,Golden CO,Women's Footbag Freestyle,1,Tricia Sullivan,,
1986 World Footbag Championships,1986,Golden CO,Women's Footbag Freestyle,2,Constance Reed,,
1986 World Footbag Championships,1986,Golden CO,Women's Footbag Freestyle,3,Kim Era,,
1986 World Footbag Championships,1986,Golden CO,Women's Footbag Freestyle,3,Janice Earl,,
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,1,Scott Cleere,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,1,Bill Bethurum,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,1,Randy Nelson,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,2,Jon Lind,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,2,Dennis Ross,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,3,Jim Fitzgerald,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,3,Jack Schoolcraft,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,4,David Robinson,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,4,Tricia Sullivan,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,5,Rick Reese,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Team Footbag Freestyle,5,Paul Garnaat,,doubles
1986 World Footbag Championships,1986,Golden CO,Open Footbag Golf 3 Rounds,1,Charlie Hallowell,195,
1986 World Footbag Championships,1986,Golden CO,Open Footbag Golf 3 Rounds,2,Jack Schoolcraft,197,
1986 World Footbag Championships,1986,Golden CO,Open Footbag Golf 3 Rounds,3,Kenny Shults,197,
1986 World Footbag Championships,1986,Golden CO,Open Footbag Golf 3 Rounds,4,Evan Bozett,197,
1986 World Footbag Championships,1986,Golden CO,Open Footbag Golf 3 Rounds,5,Jimmy Caveney,199,
1986 World Footbag Championships,1986,Golden CO,Women's Footbag Golf 3 Rounds,1,Tricia Sullivan,252,
1986 World Footbag Championships,1986,Golden CO,Women's Footbag Golf 3 Rounds,2,Brenda Carman,254,
1986 World Footbag Championships,1986,Golden CO,Women's Footbag Golf 3 Rounds,3,Lynn Swearingen,260,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Consecutive,1,Fred Barnum,21021,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Consecutive,2,Derrick Fogle,20004,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Consecutive,3,Jimmy Caveney,11111,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Consecutive,4,Andy Linder,11000,
1986 World Footbag Championships,1986,Golden CO,Open Singles Footbag Consecutive,5,David Robinson,10361,
1986 World Footbag Championships,1986,Golden CO,Women's Singles Footbag Consecutive,1,Francine Beaudry,10327,
1986 World Footbag Championships,1986,Golden CO,Women's Singles Footbag Consecutive,2,Tricia Sullivan,7688,
1986 World Footbag Championships,1986,Golden CO,Women's Singles Footbag Consecutive,3,Constance Reed,6977,
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,1,Jimmy Caveney,33333,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,1,Gary Lautt,33333,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,2,Andy Linder,20000,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,2,Tricia Sullivan,20000,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,3,Evan Bozett,18348,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,3,Samantha Conlon,18348,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,4,Bill Langbehn,16753,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,4,Brent Welch,16753,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,5,Jon Lind,13618,doubles
1986 World Footbag Championships,1986,Golden CO,Open Doubles Footbag Consecutive,5,Dennis Ross,13618,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Consecutive,1,Constance Reed,21025,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Consecutive,1,Marie Elsner,21025,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Consecutive,2,Tricia Sullivan,6044,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Consecutive,2,Francine Beaudry,6044,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Consecutive,3,Samantha Conlon,1602,doubles
1986 World Footbag Championships,1986,Golden CO,Women's Doubles Footbag Consecutive,3,Tina Lewis,1602,doubles
1986 World Footbag Championships,1986,Golden CO,Intermediate Singles Footbag Net,1,Eric Thompson-Green,,
1986 World Footbag Championships,1986,Golden CO,Intermediate Singles Footbag Net,2,Yves Archambault,,
1986 World Footbag Championships,1986,Golden CO,Intermediate Singles Footbag Net,3,Martin Cote,,
1986 World Footbag Championships,1986,Golden CO,Intermediate Doubles Footbag Net,1,Yves Archambault,,doubles
1986 World Footbag Championships,1986,Golden CO,Intermediate Doubles Footbag Net,1,Martin Cote,,doubles
1986 World Footbag Championships,1986,Golden CO,Intermediate Doubles Footbag Net,2,Normand Bellemare,,doubles
1986 World Footbag Championships,1986,Golden CO,Intermediate Doubles Footbag Net,2,Jeff Wells,,doubles
1986 World Footbag Championships,1986,Golden CO,Intermediate Doubles Footbag Net,3,Morton Lundsgaard,,doubles
1986 World Footbag Championships,1986,Golden CO,Intermediate Doubles Footbag Net,3,Paul Dieter,,doubles
