event_name,year,location,category,division,place,player_1,player_2,score,notes
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Overall,1,Allan Petersen,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Overall,2,Peter Shunny,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Overall,3,Scott Milne,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Overall,4,Richard Cook,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Overall,5,Etienne Constable,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Women's Overall,1,Becca English-Ross,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Women's Overall,2,Lisa McDaniel,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Women's Overall,3,Tina Lewis,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Women's Overall,4,Kendall Kic,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",OVERALL,Women's Overall,5,Kelly Kelley,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Women's Open 5 Minutes Timed Consecutives,1,Ida Fogle,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Women's Open 5 Minutes Timed Consecutives,2,Sam Conlon,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Women's Open 5 Minutes Timed Consecutives,3,Jody Welch,,651,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Women's Open 5 Minutes Timed Consecutives,4,Tina Lewis,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Open 5 Minutes Timed Consecutives,1,Sean Flynn,,826,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Open 5 Minutes Timed Consecutives,2,Derrick Fogle,,807,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Open 5 Minutes Timed Consecutives,3,Steve Smith,,735,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Open 5 Minutes Timed Consecutives,4,Peter Irish,,732,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Open Doubles Distance One Pass,1,Brent Welch,Alf Marcussen,246,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Open Doubles Distance One Pass,2,Peter Shunny,Allen Petersen,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Open Doubles Distance One Pass,3,Sean Flynn,Jimmy Caveney,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Women's Doubles Distance One Pass,1,Julie Symons,Jody Welch,140,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Women's Doubles Distance One Pass,2,Lisa McDaniel,Sam Conlon,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",CONSECUTIVE,Women's Doubles Distance One Pass,3,Tina Lewis,Becca English-Ross,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",GOLF,Intermediate Golf,1,Justin Sexton,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",GOLF,Intermediate Golf,2,Matt Saucerman,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",GOLF,Intermediate Golf,3,Garth Smith,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",GOLF,Women's Golf,1,Becca English-Ross,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",GOLF,Women's Golf,2,Evanne Lamarche,,,
1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",GOLF,Women's Golf,3,Valerie Davidson,,,
