section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location
Highest Official Scores,Singles Consecutive 20000+ Club,101,Consecutive Kicks,Open Singles,,1,Ted Martin,,63326,Open World Record,,,
Highest Official Scores,Singles Consecutive 20000+ Club,102,Consecutive Kicks,Open Singles,,2,Gary Lautt,,52355,Former Open World Record,,,
Highest Official Scores,Singles Consecutive 20000+ Club,103,Consecutive Kicks,Open Singles,,3,Andy Linder,,36230,Former Open World Record,,,
Highest Official Scores,Singles Consecutive 20000+ Club,104,Consecutive Kicks,Open Singles,,4,Garrett Young,,25457,,,,
Highest Official Scores,Singles Consecutive 20000+ Club,105,Consecutive Kicks,Women's Singles,,5,Constance Constable,,24713,Women's World Record,,,
Highest Official Scores,Singles Consecutive 20000+ Club,106,Consecutive Kicks,Open Singles,,6,Pat Castle,,23990,,,,
Highest Official Scores,Singles Consecutive 20000+ Club,107,Consecutive Kicks,Open Singles,,7,Fred Barnum,,21021,,,,
Highest Official Scores,Singles Consecutive 20000+ Club,108,Consecutive Kicks,Women's Singles,,8,Tricia George,,20717,Former Women's World Record,,,
Highest Official Scores,Singles Consecutive 20000+ Club,109,Consecutive Kicks,Open Singles,,9,Derrick Fogle,,20004,,,,
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,201,Consecutive Kicks,Open Singles Timed,,1,Andy Linder,,1019,Open World Record,,,
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,202,Consecutive Kicks,Open Singles Timed,,2,Ken Shults,,940,,,,
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,203,Consecutive Kicks,Open Singles Timed,,3,Sean Flynn,,884,,,,
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,204,Consecutive Kicks,Open Singles Timed,,4,Gary Lautt,,865,Former Open World Record,,,
Highest Official Scores,Top Five-Minute Timed Consecutive Kicks,205,Consecutive Kicks,Open Singles Timed,,5,Brian McKenzie,,853,,,,
