name,year_inducted
Alex Zerbe,unknown
Allan Petersen,unknown
Amy Westburg,unknown
Andy Linder,unknown
Becca English,unknown
Bill Bethurum,unknown
Bill Fischetti,unknown
Bill Hayne,unknown
Bill Langbehn,unknown
Brenda Solonoski,unknown
Brent Welch,unknown
Bruce Guettich,unknown
Carol Wedemeyer,unknown
Cheryl Aubin Hughes,unknown
Chris Donofrio,unknown
Chris Ott,unknown
Chris Routh,unknown
Chris Siebert,unknown
Constance Constable,unknown
Craig Hufford,unknown
Craig Lord,unknown
Daniel Botkin,unknown
Daryl Genz,unknown
Dave Hill,unknown
David Leberknight,unknown
David Robinson,unknown
David Watson,unknown
Dennis Ross,unknown
Derrick Fogle,unknown
Eddie Robertson,unknown
Eliott Piltz Galán,unknown
Emmanuel Bouchard,unknown
Eric Bartholomay,unknown
Eric Cole,unknown
Eric Wulff,unknown
Ethan Husted,unknown
Etienne Constable,unknown
Evanne Lamarch,unknown
Florian Gotze,unknown
Garry Gaman,unknown
Garwin Bruce,unknown
Gary Lautt,unknown
Gary Preston,unknown
Geneviève Bousquet,unknown
Greg Cortopassi,unknown
Greg Nelson,unknown
Grischa Tellenbach,unknown
Heather Cook,unknown
Heather Squires Thomas,unknown
Ian Kobayashi,unknown
Ida Fogle,unknown
Jack Lentz,unknown
Jack Schoolcraft,unknown
Jake Leong,unknown
James Harley,unknown
James Roberts,unknown
Jan Struz,unknown
Jan Zimmermann,unknown
Jane Wievisick Sellman,unknown
Jane Zerbe,unknown
Jay Moldenhauer,unknown
Jeff Johnson,unknown
Jerry Cunningham,unknown
Jim Caveney,unknown
Jim Derricott,unknown
Jim Fitzgerald,unknown
Jim Penske,unknown
Jody Badger Welch,unknown
Joe Solonoski,unknown
John Leys,unknown
John Stalberger,unknown
Jon Lind,unknown
Jukka Peltola,unknown
Julie Symons,unknown
Justin Sexton,unknown
Kendall Kic,unknown
Ken Hamric,unknown
Ken Shults,unknown
Lee Guenther,unknown
Lisa McDaniel Jones,unknown
Lisa Monti,unknown
Lon Skyler Smith,unknown
Lori Jean Conover,unknown
Marilyn Demuy,unknown
Mark Hill,unknown
Martin Cote,unknown
Maude Landreville,unknown
Maxell Smith,unknown
Mike Marshall,unknown
Mike Noonan,unknown
Ole Schnack,unknown
PT Lovern,unknown
Paul Vorvick,unknown
Peter Irish,unknown
Peter Shunny,unknown
Randy Mulder,unknown
Randy Nelson,unknown
Reed Gray,unknown
Rick Kaufman,unknown
Rick Reese,unknown
Rita Buckley,unknown
Robert Conover,unknown
Ryan Donohoe,unknown
Sam Conlon,unknown
Scott Cleere,unknown
Scott Davidson,unknown
Scott Milne,unknown
Scott-Mag Hughes,unknown
Steve Goldberg,unknown
Steve Smith,unknown
Taishi Ishida,unknown
Ted Huff,unknown
Ted Martin,unknown
Tim Vozar,unknown
Tina Lewis,unknown
Torben Wigger,unknown
Tricia George,unknown
Tuan Vu,unknown
Tuomas Karki,unknown
Vasek Klouda,unknown
Vince Bradley,unknown
Walt Benziger,unknown
Walt Houston,unknown
Walt Mason,unknown
Wiktor Debski,unknown
Yves Archambault,unknown
