full_name,induction_year,person_id,source_url,notes,bio_present
Alex Zerbe,2024,dccd2dfd-4392-506e-9341-41106dd1e2f0,https://www.footbaghalloffame.net/our-members/alex-zerbe,,true
Allan Petersen,2002,64472889-80b6-5457-a226-8aa66fa810fd,https://www.footbaghalloffame.net/our-members/allan-petersen,,true
Amy Westburg,2016,7d915cea-c796-5579-830e-2c5e53e4ac44,https://www.footbaghalloffame.net/our-members/amy-westburg,Official Footbag Reference year-page snippet uses “Amy Westberg”; Footbag Hall of Fame site uses “Amy Westburg”.,false
Andy Linder,,64a7a989-aa2c-5a58-b141-e8378be4a962,https://www.footbaghalloffame.net/our-members/andy-linder,,true
Becca English,2013,93d75393-13d7-55c0-b23e-cf0c9a077583,https://www.footbaghalloffame.net/our-members/becca-english,Official Footbag Reference year-page snippet uses “Becca English-Ross”; Footbag Hall of Fame site uses “Becca English”.,true
Bill Bethurum,,67af5b3f-6e16-530a-8841-409debf11fb0,https://www.footbaghalloffame.net/our-members/bill-bethurum,,false
Bill Fischetti,,,https://www.footbaghalloffame.net/our-members/bill-fischetti,,false
Bill Hayne,,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,https://www.footbaghalloffame.net/our-members/bill-hayne,,false
Bill Langbehn,,40fa16ff-a418-5da9-914e-3a09e231f2a7,https://www.footbaghalloffame.net/our-members/bill-langbehn,,false
Brenda Solonoski,2003,,https://www.footbaghalloffame.net/our-members/brenda-solonoski,,false
Brent Welch,2004,95643c20-ec23-57a5-a742-5b44534ae959,https://www.footbaghalloffame.net/our-members/brent-welch,,false
Bruce Guettich,,886e5b99-bd46-5707-a490-a2e938b09a35,https://www.footbaghalloffame.net/our-members/bruce-guettich,,true
Carol Wedemeyer,,b63b58da-fe12-59da-92d6-15726472e38b,https://www.footbaghalloffame.net/our-members/carol-wedemeyer,,false
Cheryl Aubin Hughes,,cfcef53f-670c-5721-b206-1ebe7d63987c,https://www.footbaghalloffame.net/our-members/cheryl-aubin-hughes,,false
Chris Donofrio,,930c2d56-749c-5f85-a221-106ebb83e0b8,https://www.footbaghalloffame.net/our-members/chris-donofrio,,false
Chris Ott,2002,8959d778-41d3-554e-a831-6e1f73534b0f,https://www.footbaghalloffame.net/our-members/chris-ott,,true
Chris Routh,,b08606fb-8072-5d14-ae24-b1881c22be54,https://www.footbaghalloffame.net/our-members/chris-routh,,false
Chris Siebert,2011,c0408f85-c347-5937-a0f1-bf768164ab09,https://www.footbaghalloffame.net/our-members/chris-siebert,,true
Constance Constable,,826201f8-2540-5663-9bbf-239e94ccee43,https://www.footbaghalloffame.net/our-members/constance-constable,,true
Craig Hufford,,,https://www.footbaghalloffame.net/our-members/craig-hufford,,false
Craig Lord,2011,7b2f75cb-f239-5acd-a9c8-4c241b4ed695,https://www.footbaghalloffame.net/our-members/craig-lord,,false
Daniel Botkin,2008,e127d87a-07d1-5dfb-a359-499f678ce286,https://www.footbaghalloffame.net/our-members/daniel-botkin,,false
Daryl Genz,,bd97ebe2-5ecd-5854-9d2e-b877a27ac527,https://www.footbaghalloffame.net/our-members/daryl-genz,,true
Dave Hill,,5cb79fb4-ab20-558f-b4a2-e7206c9f22df,https://www.footbaghalloffame.net/our-members/dave-hill,,true
David Leberknight,2023,63cda333-9780-5bb4-a4f1-7618bf7fe937,https://www.footbaghalloffame.net/our-members/david-leberknight,,true
David Robinson,2000,895b0608-34df-509a-853d-684ffa24e824,https://www.footbaghalloffame.net/our-members/david-robinson,,true
David Watson,,,https://www.footbaghalloffame.net/our-members/david-watson,,false
Dennis Ross,,84641a6f-36d4-5857-af3f-827b1f57102f,https://www.footbaghalloffame.net/our-members/dennis-ross,,false
Derrick Fogle,,fe2c05c8-4093-5304-9433-9793630542f5,https://www.footbaghalloffame.net/our-members/derrick-fogle,,true
Eddie Robertson,,,https://www.footbaghalloffame.net/our-members/eddie-robertson,,false
Eliott Piltz Galán,2016,1685a8aa-0446-562c-bfe0-186e50c8c93b,https://www.footbaghalloffame.net/our-members/eliott-piltz-galan,Index variants include “Eliot Piltz Galan” and “Eliot Galán”; profile page heading uses “Eliott Piltz Galán”.,true
Emmanuel Bouchard,,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,https://www.footbaghalloffame.net/our-members/emmanuel-bouchard,,false
Eric Bartholomay,,f02efc5b-3ae1-5979-a64f-a6f211b846d7,https://www.footbaghalloffame.net/our-members/eric-bartholomay,,false
Eric Cole,2003,,https://www.footbaghalloffame.net/our-members/eric-cole,,false
Eric Wulff,,e8b82661-4428-5e51-a786-29bf7a23728f,https://www.footbaghalloffame.net/our-members/eric-wulff,,true
Ethan Husted,2019,10854ae3-60d7-51a7-ad9a-36033b541bd9,https://www.footbaghalloffame.net/our-members/ethan-husted,Index variant “Ethan Red Husted”; profile page heading uses “Ethan Husted” and body gives full name Frederick Ethan Mason Husted / nickname Red.,true
Etienne Constable,2011,,https://www.footbaghalloffame.net/our-members/etienne-constable,,false
Evanne Lamarch,2016,299071d7-2781-514f-93b1-6b7a7059ab8a,https://www.footbaghalloffame.net/our-members/evanne-lamarch,Official Footbag Reference year-page snippet uses “Evanne Lamarche”; Footbag Hall of Fame site uses “Evanne Lamarch”.,false
Florian Gotze,,ab966624-6643-5dea-b165-67e66af402f9,https://www.footbaghalloffame.net/our-members/florian-gotze,,false
Garry Gaman,,,https://www.footbaghalloffame.net/our-members/garry-gaman,,false
Garwin Bruce,,,https://www.footbaghalloffame.net/our-members/garwin-bruce,,true
Gary Lautt,1999,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,https://www.footbaghalloffame.net/our-members/gary-lautt,,false
Gary Preston,,472663b7-a356-59f4-8743-c5ad3fae999e,https://www.footbaghalloffame.net/our-members/gary-preston,,true
Geneviève Bousquet,,fea99a91-ae13-5cb1-b87f-3c352783dc2e,https://www.footbaghalloffame.net/our-members/genevieve-bousquet,Index variant without accent: “Genevieve Bousquet”.,true
Greg Cortopassi,,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,https://www.footbaghalloffame.net/our-members/greg-cortopassi,,true
Greg Nelson,,da2cbc95-e09b-5a22-9baf-00e25552c9b6,https://www.footbaghalloffame.net/our-members/greg-nelson,,false
Grischa Tellenbach,,ec1d5118-cd4b-591f-a84a-04bbe20868bc,https://www.footbaghalloffame.net/our-members/grischa-tellenbach,,true
Heather Cook,2015,28ccdba7-d837-53e4-bd64-ebc2c8341142,https://www.footbaghalloffame.net/our-members/heather-cook,,true
Heather Squires Thomas,,e41184d4-ed7c-53d0-a3be-6b1e92fa5279,https://www.footbaghalloffame.net/our-members/heather-squires-thomas,,true
Ian Kobayashi,,c7b1bfd4-9d63-5bc8-b42b-be08085a2d80,https://www.footbaghalloffame.net/our-members/ian-kobayashi,,false
Ida Fogle,,a1cf399e-b52c-5ffe-9b80-10df4e20232f,https://www.footbaghalloffame.net/our-members/ida-fogle,,true
Jack Lentz,2009,57dca99e-db45-5b32-83f4-c188d1d24c50,https://www.footbaghalloffame.net/our-members/jack-lentz,,false
Jack Schoolcraft,,b7c2a69b-7547-5ee6-936e-b675c748d131,https://www.footbaghalloffame.net/our-members/jack-schoolcraft,,false
