effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
b7a11079-a08c-5010-9f3f-35e35e46e966,Aaro Wichmann,33e8cbec-ad6b-588e-a681-f857e1fabaff | 4ea0a3c4-373e-54c6-a65a-e6cc157c3789,Aaro Wichmann,,,,overrides+data,Aaro Wichmann,,Aaro Wichman,,wichmann,,
ee4a31bf-24fa-5566-b19b-7f7a40e12d22,Aaron Dean,61905e5f-92d8-5346-9f1e-06484cd0c90c | 6a589087-9fe4-5851-8e1d-4df5bb0befd8,Aaron Dean,,,,overrides+data,Aaron Dean,,,,dean,,
58b8b504-077c-5a37-9e96-0bb405506e02,Aaron Finger,00d15f18-81dd-55d4-b86d-eb62a2a43cba,Aaron Finger,,,,overrides+data,Aaron Finger,,,,finger,,
3f12f7d5-75dc-5467-8aab-1c864defb1e8,Aaron Grauer,5172bc80-4f02-5865-9bea-485a5cdce4a2,Aaron Grauer,,,,overrides+data,Aaron Grauer,,,,grauer,,
0bf96614-8396-5c18-bdb0-501af1fa9c81,Aaron Gregg,3ff3abd1-042f-5e51-8717-85046e4bebdd | b2722941-9f6a-5eac-ad35-b63e3883bb29,Aaron Gregg,,,,overrides+data,Aaron Gregg,,Aaron Gregg -,,gregg,,
1018fba6-1fb7-5b2a-8a0e-0dcde74d1e26,Aaron Hunsburger,691b0e58-4bbf-506a-8511-3bf15638e040 | 72c7eeb2-e5e5-5710-af7d-bdb2615f3d37,Aaron Hunsburger,,,,overrides+data,Aaron Hunsburger,,Aaron Hunsberger,,hunsburger,,
766ba8a6-f9b8-5be2-b501-6a034451d8ac,Aaron Orton,9d151598-d6b2-539c-b29b-32e9f939cf30 | dd136d00-09a9-5786-a29b-eaa7faef167b,Aaron Orton,,,,overrides+data,Aaron Orton,,,,orton,,
aef45333-50d3-5e29-8482-2f76c6ca90f9,Aaron Saucedo,a22a5726-11fb-5a2c-b906-06aacb025019,Aaron Saucedo,,,,overrides+data,Aaron Saucedo,,,,saucedo,,
fea8f5a0-4e10-5161-8a35-9ac795141db3,Aaron Shepard,d408e4d0-1f61-5f1b-a181-c99d7f6ec05a | e7e1cfa3-9497-52fd-8dea-78ccf2770f26,Aaron Shepard,,,,overrides+data,Aaron Shepard,,,,shepard,,
019ead09-4345-5705-9196-5b37fba7813e,Aaron Vargas,dd3388a9-ebf3-50fa-a9be-664b3399d07f,Aaron Vargas,,,,overrides+data,Aaron Vargas,,,,vargas,,
bcf49f90-b0db-5580-a216-5d0bad1153da,Aaron Wichman,25b251b8-e66e-5b89-834d-09008b65b6f7,Aaron Wichman,,,,overrides+data,Aaron Wichman,,,,wichman,,
38c0cb5d-12c3-54bb-bd52-67934dec64a9,Abdom Vivas,d802df58-8987-5f6d-8d53-960f1cdcef84,Abdom Vivas,,,,overrides+data,Abdom Vivas,,,,vivas,,
c87f38e0-b918-5fdc-b7bb-b131198a6d82,Abel Da Silva,126922b1-ce10-5863-8cc3-3c194cc30369,Abel Da Silva,,,,overrides+data,Abel Da Silva,,,,silva,,
6ef97ba8-166b-58bf-a815-485ad4bb4bb6,Abraham Akbari,75934d99-9e1b-5783-ae9e-c1c8ad2ae65f,Abraham Akbari,,,,overrides+data,Abraham Akbari,,,,akbari,,
e86a1f8c-d705-5f4e-9f9e-ec85f0e07509,Abrahmovicz Piotr,b7bdf1ed-c41d-57a7-ad19-3665d2a96f0d,Abrahmovicz Piotr,,,,overrides+data,Abrahmovicz Piotr,,,,piotr,,
cae9fcaa-a9d1-5992-bc64-d79fd7f5d5f3,Abram Santana,731e6457-9e30-56f5-9e94-936f48536add | f5dcc313-979d-5069-9095-27ab4f3467e7,Abram Santana,,,,overrides+data,Abram Santana,,,,santana,,
2244b92b-058a-5735-9452-3c4c86e32569,Acosta Funes,b937b00a-0386-5fd8-9a97-e00c57158709,Acosta Funes,,,,overrides+data,Acosta Funes,,,,funes,,
99110263-91d7-5018-bc5e-49661655a293,Acosta Iván,5859b80e-3487-523e-b715-9d16f7896bf1,Acosta Iván,,,,overrides+data,Acosta Iván,,,,iván,,
fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,0c461eee-4f34-5047-aa11-e6460c4f85e6 | 3880136a-2c62-59fe-8438-ddff625c7e84 | 57dfc6c1-1985-5aa4-ae60-a4df85ebea44 | a9068f9e-9e38-5897-9a5e-83b2c4884a32,Adam Cieszkiel,,,,overrides+data,Adam Cieszkiel,,,,cieszkiel,,
57477659-5d12-5993-a43e-5a03384ccdff,Adam Dziewior,23512113-8961-5f8b-8695-7d59bb44ce2f|e0350a49-6755-5fbe-b676-ba9fa4623cc6,Adam Dziewior|Dziewior Adam,,,,overrides+data,Adam Dziewior,,,,dziewior,,
91a047ef-e294-58ca-8ffd-b8bb18c65361,Adam Eisner,f4050dea-9918-5ca6-84f9-7a000a55334e,Adam Eisner,,,,overrides+data,Adam Eisner,,,,eisner,,
d87e8f79-2fff-589a-b1ce-8f07371cf4d9,Adam Fox,9d1113e5-c975-5ab0-b49a-87b8d413ad41,Adam Fox,,,,overrides+data,Adam Fox,,,,fox,,
de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,13453308-5310-573d-b335-f78687b8b729 | 4cdbe8a9-c3ba-57cd-b524-d683826e6ef8 | 613f40ec-f25f-58d9-b3f2-0ec0ebdae950,Adam Greenwood,,,,overrides+data,Adam Greenwood,,,,greenwood,,
3411998f-eba4-56d9-9ce6-15625a0207ea,Adam Hutchinson,91d0a09c-7749-5ee1-8bef-88636f27e60a | b5e4eeb9-63fa-50df-bb17-538421465793,Adam Hutchinson,,,,overrides+data,Adam Hutchinson,,,,hutchinson,,
