variant_name,canonical_name,confidence,source
Adam Kulhanek,Adam Kulhánek,high,manual
Agata Gorska,Agata Górska,high,manual
Airam Diaz,Airam Díaz,high,manual
Aitor Armino,Aitor Armińo,high,manual
A. J. Shultz,AJ Shultz,medium,alias
Aki Pentikainen,Aki Pentikäinen,high,manual
Ales Pelko,Ale Pelko,high,display_name
Alejandro Rueda Patino,Alejandro Rueda Patiño,high,manual
Aleksi Ohman,Aleksi Öhman,high,manual
Alex Belanger,Alex Bélanger,high,manual
Alex Martinez,Alex Martínez,high,manual
Alex (Zeke) Ibardaloza,Alex Zeke Ibardaloza,high,alias
Alexander Martinez,Alexander Martínez,high,manual
Alexandre Belanger,Alexandre Bélanger,high,manual
Alexandre Kegle,Alexandre Kègle,high,manual
Alexis Canas,Alexis Cańas,high,manual
Allen Petersen,Allan Petersen,high,display_name
Álvaro Alfinger,Alvaro Manzanero Alfinger,medium,alias
Amelie Beck,Amélie Beck,high,manual
Ander Lopez,Ander López,high,manual
Andre Pena,Andre Peńa,high,manual
Andreas Kafer,Andreas Käfer,high,manual
Andreina Pena,Andreina Peña,high,manual
Jamiro Egorov,Andrey Jamiro Egorov,medium,alias
Andre Calado Coroado,André Calado Coroado,high,manual
André Coroado,André Calado Coroado,medium,alias
Andre Lemaire,André Lemaire,high,manual
Andre Volksdorf,André Volksdorf,high,manual
Andres Osorio,Andrés Osorio,high,manual
Andres Zapata,Andrés Zapata,high,manual
Andres Zapata Pelaez,Andrés Zapata,medium,alias
Andy Gotze,Andy Götze,high,manual
Anthony Raymond Intemann,Anthony Intemann,medium,alias
Anthony Ritz,Anthony Tony Ritz,medium,alias
Antoine Desrochers-Godin,Antoine Desrochers Godin,high,alias
Antoine Godin,Antoine Desrochers Godin,medium,alias
Antony Corbiere,Antony Corbière,high,manual
Dudziński Arkadiusz,Arkadiusz Dudzinski,high,alias
Arkady Lobankov,Arkady Kemp Lobankov,medium,alias
Arthur Tutur Ledain,Arthur Ledain,medium,alias
Austin Sparks,Awesome Austin Sparks,medium,alias
Barthelemy Garcia,Barthélémy Garcia,high,manual
Barthelemy Meridjen,Barthélémy Meridjen,high,manual
Bathelemy Meridjen,Bathélémy Meridjen,high,manual
Beatrice Jager,Beatrice Jäger,high,manual
Becca English Ross,Becca English-Ross,high,alias
Becca Ross,Becca English-Ross,medium,alias
Ben Kuhner,Ben Kühner,high,manual
Benjamin J. Babyak,Benjamin Babyak,medium,alias
Benoit Dugovic,Benoît Dugovic,high,manual
Bjorn Stenzel,Björn Stenzel,high,manual
Boris Belouin Ollivier,Boris Belouin,high,display_name
Boris Belouin Ollivier,Boris Ollivier,medium,alias
Boris J. Ollivier,Boris Ollivier,medium,alias
Boris Julien Ollivier,Boris Ollivier,medium,alias
Brayan Bosa,Brayan Bosa Bedoya,medium,alias
Budas Balint,Budás Bálint,high,manual
Budas SiGi Balint,Budás SiGi Bálint,high,manual
Carla Muller,Carla Müller,high,manual
Cezary Smigulski,Cezary Śmigulski,high,manual
Chris Low,Chris Löw,high,manual
Chris Gator Routh,Chris Routh,medium,alias
Chris ÏGatorÓ Routh,Chris Routh,medium,alias
Christian Low,Christian Löw,high,manual
Christian Lowe,Christian Löwe,high,manual
Chris Siebert,Christopher Michael Siebert,high,display_name
Christopher Siebert,Christopher Michael Siebert,high,display_name
Cory D. Current,Cory Current,medium,alias
Cristian Garcia,Cristian García,high,manual
Dan Schlapfer,Dan Schläpfer,high,manual
Dani Waldispuhl,Dani Waldispühl,high,manual
Daniel Ernesto Gonzalez,Daniel Ernesto González,high,manual
Daniel Kuzniec,Daniel Kuźniec,high,manual
Daniel Schlapfer,Daniel Schläpfer,high,manual
Daryl Genzu Genz,Daryl Genz,medium,alias
David Castillo Tibocha,David Castillo,medium,alias
Diego Chavez,Diego Chávez,high,manual
Diego Alejandro Velazquez,Diego Velazquez,medium,alias
Dinko Loco Dimitrov,Dinko Dimitrov,medium,alias
D.J. Dourney,DJ Dourney,medium,alias
Dominic Bedard,Dominic Bédard,high,manual
Dominik Simku,Dominik Šimků,high,manual
Dorka Szaszko,Dorka Szaszkó,high,manual
Dylan Harper Fry,Dylan Fry,medium,alias
Edison Alejandro Rodriguez Betancur,Edison Alejandro Rodríguez Betancur,high,manual
Eduardo Martínez,Eduardo Martinez,high,display_name
E.J. Gammage,EJ Gammage,high,display_name
El Pulpo,El Pulpö,high,manual
Eliot Galán,Eliot Piltz Galán,medium,alias
Eliot Piltz Galan,Eliot Piltz Galán,high,manual
Elias Gonzalez,Elías González,high,manual
Eneko Garcia,Eneko García,high,manual
Wicked Eric Windsor,Eric Windsor,medium,alias
Eric M. Wulff,Eric Wulff,medium,alias
Ethan Red Husted,Ethan Husted,medium,alias
Evelin Kovacs,Evelin Kovács,high,manual
Fanda Hajek,Fanda Hájek,high,manual
Felipe-Emile Francoeur,Felipe-Émile Francoeur,high,manual
Filip Predkiewicz,Filip Prędkiewicz,high,manual
Filip Wójcik,Filip Wojcik,high,display_name
Flo Goetze,Florian Goetze,high,display_name
Flo Götze,Florian Goetze,high,display_name
Florian Götze,Florian Goetze,high,display_name
Fran Diaz,Fran Díaz,high,manual
Franck Remy,Franck Rémy,high,manual
François Depatie Pelletier,Francois Depatie-Pelletier,high,display_name
Franois Pelletier,Francois Pelletier,high,display_name
François Depatie Pelletier,Francois Pelletier,medium,alias
François Pelletier,Francois Pelletier,high,display_name
Francois Depatie,François Depatie,high,manual
Francois Grignard,François Grignard,high,manual
Francois Leh,François Leh,high,manual
Francois Parayre,François Parayre,high,manual
Francois Perreault,François Perreault,high,manual
Francois Stierli,François Stierli,high,manual
Frederic Touzelet,Frédéric Touzelet,high,manual
Felix-Antoine Guerard,Félix-Antoine Guérard,high,manual
Gabriel Bohorquez,Gabriel Bohórquez,high,manual
Gadzinski Marcin,Gadziński Marcin,high,manual
Garry G. Griggs,Garry Griggs,medium,alias
Genevieve Bousquet,Geneviève Bousquet,high,display_name
Genevive Bousquet,Geneviève Bousquet,high,display_name
Genvieve Bousquet,Geneviève Bousquet,high,display_name
Geri Waldispuhl,Geri Waldispühl,high,manual
Flash Gordon Bevier,Gordon Bevier,medium,alias
Gordon Scott Bevier,Gordon Bevier,medium,alias
Grecia Martinez,Grecia Martínez,high,manual
Greg Neumann,Greg Nice Neumann,medium,alias
Grzesiek Łatuszynski,Grzesiek Łatuszyński,high,manual
Gabor Ivanicsko,Gábor Ivanicskó,high,manual
Gabor Jelenfi,Gábor Jelenfi,high,manual
