alias,trick_canon
bw,blurry whirl
blurry w,blurry whirl
blury whirl,blurry whirl
pdx torque,paradox torque
p torque,paradox torque
p. torque,paradox torque
paradox t,paradox torque
pdx blender,paradox blender
p. blender,paradox blender
pdx whirl,paradox whirl
p-whirl,paradox whirl
p. whirl,paradox whirl
pdx drifter,paradox drifter
p. drifter,paradox drifter
pdx mirage,paradox mirage
p. mirage,paradox mirage
ps whirl,paradox symposium whirl
p.s. whirl,paradox symposium whirl
ps mirage,paradox symposium mirage
p.s. mirage,paradox symposium mirage
ps eggbeater,paradox symposium eggbeater
ps torque,paradox symposium torque
atw,around the world
around-the-world,around the world
ratw,reverse around the world
reverse atw,reverse around the world
datw,double around the world
double atw,double around the world
atomsmasher,atom smasher
atom-smasher,atom smasher
bar fly,barfly
super fly,superfly
dim walk,dimwalk
park walk,parkwalk
park-walk,parkwalk
foot processor,food processor
egg beater,eggbeater
illusioning legover,eggbeater
miraging clipper,drifter
blurry butterfly,ripwalk
pixie butterfly,dimwalk
pixie ss butterfly,parkwalk
whirling osis,blender
miraging osis,torque
atomic mirage,atom smasher
double infinity,barfly
blurry barfly,blurriest
blurry dlo,fog
gyro torque,mobius
möbius,mobius
moebius,mobius
atomic dod,fusion
ducking paradox whirl,tomahawk
symposium barfly,superfly
blurry blender,food processor
catwalk,eclipse
barraging legover,flurry
pixie mirage,smear
leg over,legover
leg-over,legover
leg beater,atomic butterfly
legbeater,atomic butterfly
dlo,eggbeater
ripped warrior,blurry ducking butterfly
jani walker,furious butterfly
jani-walker,furious butterfly
sumo,nuclear mirage
witchdoctor,atomic symposium mirage
witch doctor,atomic symposium mirage
whirlwind,spinning symposium whirl
marius,spinning torque
silo,atomic torque
baroque,barraging osis
mobius,mobius
blur,blur
drifter,drifter
reverse whirl,rev whirl
revwhirl,rev whirl
rev-up,rev up
revup,rev up
bs whirl,blurry symposium whirl
blurry symposium wirl,blurry symposium whirl
