raw_name,canonical_name
singles,Open Singles Net
doubles,Open Doubles Net
singles net,Open Singles Net
doubles net,Open Doubles Net
open singles,Open Singles Net
open doubles,Open Doubles Net
freestyle,Open Singles Freestyle
open freestyle,Open Singles Freestyle
team,Open Team Freestyle
golf,Open Golf
ultra singles net,Open Singles Net
ultra doubles net,Open Doubles Net
women's ultra singles net,Women's Singles Net
ultra singles,Open Singles Net
ultra doubles,Open Doubles Net
net singles advanced,Open Singles Net
net doubles advanced,Open Doubles Net
advanced singles net,Open Singles Net
advanced doubles net,Open Doubles Net
advanced singles footbag net,Open Singles Net
advanced doubles footbag net,Open Doubles Net
advanced singles,Open Singles Net
advanced doubles,Open Doubles Net
advanced freestyle,Open Singles Freestyle
advanced singles freestyle,Open Singles Freestyle
golf singles advanced,Open Golf
advanced footbag golf,Open Golf
advanced golf,Open Golf
net singles advanced,Open Singles Net
net doubles advanced,Open Doubles Net
advanced consecutives:,Open Singles Consecutive
advanced singles consecutive,Open Singles Consecutive
advanced 5 minute timed footbag consecutive,Open Singles Consecutive
singles consecutive kicks,Open Singles Consecutive
doubles consecutive kicks,Open Doubles Consecutive
team consecutive kicks,Open Team Consecutive
women's consecutive kicks,Women's Singles Consecutive
women's singles consecutive kicks,Women's Singles Consecutive
women's doubles consecutive kicks,Women's Doubles Consecutive
intermediate singles consecutive kicks,Intermediate Singles Consecutive
doubles one-pass consecutive kicks,Open Doubles Distance
women's doubles one-pass consecutive kicks,Women's Doubles Distance
open sgls 5-min consecutive,Open Singles Consecutive
open dbls distance consecutive,Open Doubles Distance
women's sgls 5-min consecutive,Women's Singles Consecutive
women's dbls distance consecutive,Women's Doubles Distance
open sgls net,Open Singles Net
open dbls net,Open Doubles Net
women's sgls net,Women's Singles Net
women's dbls net,Women's Doubles Net
mixed dbls net,Mixed Doubles Net
open sgls freestyle,Open Singles Freestyle
open team freestyle,Open Team Freestyle
women's sgls freestyle,Women's Singles Freestyle
women's team freestyle,Women's Team Freestyle
singles freestyle,Open Singles Freestyle
women's freestyle,Women's Singles Freestyle
team freestyle,Open Team Freestyle
intermediate freestyle,Intermediate Singles Freestyle
