event_id,year,event_name,host_club,date,location
1001076203,2001,3ème Open de France de Footbag,,"November 9-11, 2001",Paint-ball Arena
1003802417,2001,II Torneo Hacky Sack,,"November 9, 2001",Universidad de Sonora Enfrente de laboratorio de Qu?mica Edificio 5-N
1005667143,2001,Finnstyle Footbag JAM,,"November 24, 2001","Arena Center, Ruskeasuo"
1011291051,2002,Quebec City Footbag Net Championships 2002,,"July 12-14, 2002",Plaines of Abraham
1011324897,2002,PennStateTrio's O.F.F. 2,,"March 2-3, 2002",Days Inn Hotel (Ballroom Reserved)
1015303046,2002,S.L.O. Kickin's 1st annual footbag net tournament,,"June 22, 2002",Mitchell Park
1016457376,2002,Cinco de Mayo Footbag Fest,,"May 5, 2002",Pendleton King Park
1018925821,2002,Tri-State Area Footbag Jam,,"May 18, 2002","Bear Run Campground, 184 Badger Hill Rd."
1022992222,2002,Shred Zero Summer Open 2002,,"July 5-7, 2002",Acadia Althletic Park
1025084282,2002,1st Queensland Footbag Challenge,,"August 18, 2002",Logan City PoliceYouth Club
1029347412,2002,Woodstower: French Opening,,"September 7-8, 2002",
1031334528,2003,Funtastik Summer Classic Footbag Tournament,,"August 30-September 1, 2003",Sunshine Park & City Island
1032602594,2002,Victorian Footbag Championships,,"October 5, 2002",Outside the State Library
1035817350,2002,New South Wales Footbag Championships,,"December 7, 2002",Sydney Myer Music Bowl/Homebake Music Festival
1036298726,2003,Colorado Shred Symposium 4,,"March 1-2, 2003",O.D.'s Sports Crossing
1036653244,2003,2003 Shred Zero Summer Open,,"June 28-29, 2003",University of Calgary
1038895913,2003,Seapa NZ Freestyle Footbag Championships,,"February 21-23, 2003","Day 1: Cuba Mall, Day 2: Chaffers Park, Day 3: Te Papa Amphitheatre"
1043096425,1985,East Coast Championships - 3rd Annual - 1985,,"September 14-15, 1985",Monmouth College
1043370312,2003,4th Annual UCSF Footbag Jam,,"March 29-30, 2003","500 Parnassus Avenue, Milberry Conference Center, UCSF"
1044624680,2003,2003 Southeastern Regional Championships,,"April 26, 2003",Pendleton King Park
1045628278,2003,Montreal Footbag Challenge 2003,,"May 31, 2003",Le Gesu - 1200 Bleury (coin Ste-Catherine)
1046985067,2003,2003 Steel City Footbag Open,,"May 16-18, 2003",Nationality Days Street Festival
1054616435,2003,1st Annual Eugene Freestyle Festival,,"October 18-19, 2003",Washington Jefferson St bridge
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,,"September 30, 1986",Monmouth College
1057175925,1990,East Coast Footbag Championships - 8th Annual - 1990,,"August 31, 1990",Mayo Park
1057345914,1991,East Coast Footbag Championships - 1991 - 9th Annual,,"October 5-6, 1991",Mayo Park
1057773472,2003,23rd Annual Moonin' & Noonin' Beaver Open,,"August 30-September 1, 2003",Willamette Mission State Park
1059060870,2003,Footbag Hall of Fame East/West Celebration,,"August 30, 2003",See details.
1061453080,2003,Australian East Coast Regionals,,"September 27-28, 2003",State Library
1064245646,2003,Swissjam,,"November 29, 2003",Regina Mundi
1069791565,2004,5th Annual Open de France,,"January 24-25, 2004",Gymnase Duplat & Ninkasi Kaf
1070400528,2003,West Coast Xmas Shred,,"December 28, 2003","Milberry Union, UCSF Campus, 500 Paranassus"
