event_id,event_type,notes
1733755410,net,Segunda Copa Perpetual Flame — 8 doubles teams no division header
1718928783,golf,6th Annual Birken Open Footbag Golf Tournament
1745203963,golf,7th Annual FROpen Footbag Golf Tournament
967123362,golf,Danish Open Footbag Golf
1079664495,social,May Day 04 — 4 Square money games noise
1093115479,social,2nd Annual SoCal Labor Day Jam — address parsed as place
1200725314,social,SoCali Jam 08 — activity description
955642039,social,Zion Footbag Tour — 5 WEEKS OF FUN noise
961029998,social,Club Hackedout TV Appearance — media event
1044952105,net,L'Hivernal The Windchill — doubles with dash separator
1269111845,net,King of the Hill 2010 — singles knockout format
1347475695,net,Carnabal Footbag Contest — doubles with slash pairs
857874500,mixed,Oregon 1997 — name said golf but net divisions present
860944937,mixed,1997 Kansas Open — misplaced golf label
876590022,mixed,misplaced golf label
