event_id,location,category,notes
1023993464,"Hershey, Pennsylvania, USA",broken_source,Funtastik Summer Classic (always Hershey)
1030642331,"Seattle, Washington, USA",broken_source,Seattle Juggling and Footbag Festival
1099545007,"Auckland, Auckland, New Zealand",broken_source,Seapa NZ Footbag Nationals 2005
1151949245,"Edmonton, Alberta, Canada",broken_source,ShrEdmonton 2006
1278991986,"Vancouver, British Columbia, Canada",broken_source,23rd Annual Vancouver Open
1299244521,"Warsaw, Masovian, Poland",broken_source,Warsaw Footbag Open 2011
860082052,"Austin, Texas, United States",broken_source,Texas State Footbag Championships
941066992,"San Francisco, California, United States",broken_source,Western Regional
959094047,"Zurich, Zurich, Switzerland",broken_source,Battle of the Year Switzerland
1076748214,"St. Louis, Missouri, United States",simplified,Was: St. Matthias Church St. Louis...
937366766,"Mt. Prospect, Illinois, United States",simplified,Was: Meadows Park Mt. Prospect...
1008128589,"Boulder, Colorado, United States",simplified,Was: Day 1... Day 2... (multi-venue)
1326725476,"Mérida, Mérida, Venezuela",simplified,Was: Cancha Techada de la FCU... (verbose Spanish)
1458170459,"Paris, Île-de-France, France",simplified,Was: Gymnase Caillaux. Paris 75013...
1035042753,"Hochwald, Solothurn, Switzerland",simplified,SwissJam No. 6 1/2 — venue TBA Hochwald
1059060870,"Salem, Oregon, United States",simplified,Hall of Fame East/West (primary West venue)
1064245646,"Fribourg, Fribourg, Switzerland",simplified,Swissjam — Regina Mundi venue in Fribourg
1072202155,"Oakland, California, United States",multi_venue,The Green Cup - multi-venue
1102227996,"Oakland, California, United States",multi_venue,The Green Cup - multi-venue (primary Oakland)
1131659634,"Oakland, California, United States",multi_venue,2006 Green Cup - multi-venue Oakland/SF
1109356644,"Harrisburg, Pennsylvania, United States",simplified,Funtastik - Morrison Park alias
1113844078,"Baška Voda, Split-Dalmatia, Croatia",corrected,Footbag Camp Croatia 2005 (not CZ)
1143172220,"Somerville, New Jersey, United States",simplified,Jersey Spike & Shred
1149881200,"Harrisburg, Pennsylvania, United States",simplified,Funtastik - multi-day venues
1180708622,"Silver Spring, Maryland, United States",simplified,East Coast Championships
1252451527,"Harrisburg, Pennsylvania, United States",simplified,Funtastik - Morrison Park alias
1295120951,"Oakland, California, United States",multi_venue,Green Cup - multi-venue
1297909685,"Caracas, Capital District, Venezuela",simplified,2da Copa Ciencias
1301675662,"Caracas, Capital District, Venezuela",simplified,2da Copa Venezuela - UCV
1330833781,"Caracas, Capital District, Venezuela",simplified,3ra Copa Ciencias-UCV
1361239920,"San Cristóbal, Táchira, Venezuela",simplified,FOOTCAMP 2013
1362598500,"Montréal, Quebec, Canada",simplified,Akisphere - multi-park
1378928859,"San Cristóbal, Táchira, Venezuela",simplified,5º Copa Táchira
