alias,person_id,person_canon,status,notes
'Red' Husted,10854ae3-60d7-51a7-ad9a-36033b541bd9,Ethan Husted,verified,
?. Chris Cleaver,ae007583-9bf0-520a-ba7c-b2e6f52b12ef,Chris Cleaver,verified,
?Boy-Skaut? Skrabal,8062aff3-a243-594f-b347-8f5e60cbf435,Boy-Skaut Skrabal,verified,
?Crazy? Mike Craig,f8221498-f0fb-5598-b251-b5b12fccdcab,Crazy Mike Craig,verified,
A Intemann,71ae4086-3d7f-5fdb-812b-778eda4da0cf,Anthony Intemann,verified,
A. Intemann,71ae4086-3d7f-5fdb-812b-778eda4da0cf,Anthony Intemann,verified,
A. J. Shultz,071ff943-073b-5edb-b2b1-ae6bb1676176,AJ Shultz,verified,
A. J. Shultz#,071ff943-073b-5edb-b2b1-ae6bb1676176,AJ Shultz,verified,
A. Ronald,39bc6c51-d2e0-5930-8677-51828c12de14,Andy Ronald,verified,2005 Worlds initial-to-full deduction
A. Wolff,a03090dc-7534-5454-aab3-f3a074f67d33,Andreas Wolff,verified,2005 Worlds initial-to-full deduction
A.J. Shultz,071ff943-073b-5edb-b2b1-ae6bb1676176,AJ Shultz,verified,
Aaro Wichman,b7a11079-a08c-5010-9f3f-35e35e46e966,Aaro Wichmann,verified,
Aaro Wichmann,b7a11079-a08c-5010-9f3f-35e35e46e966,Aaro Wichmann,verified,
Aaron De Glanville,eea1063c-fcc1-5849-9e35-592bdf13fd7b,Aaron De Glanville,verified,
Aaron de Glanville,eea1063c-fcc1-5849-9e35-592bdf13fd7b,Aaron De Glanville,verified,
Aaron Dean,ee4a31bf-24fa-5566-b19b-7f7a40e12d22,Aaron Dean,verified,
Aaron Gregg,0bf96614-8396-5c18-bdb0-501af1fa9c81,Aaron Gregg,verified,
Aaron Gregg -,0bf96614-8396-5c18-bdb0-501af1fa9c81,Aaron Gregg,verified,
Aaron Hunsberger,1018fba6-1fb7-5b2a-8a0e-0dcde74d1e26,Aaron Hunsburger,verified,
Aaron Hunsburger,1018fba6-1fb7-5b2a-8a0e-0dcde74d1e26,Aaron Hunsburger,verified,
Aaron Orton,766ba8a6-f9b8-5be2-b501-6a034451d8ac,Aaron Orton,verified,
Aaron Shepard,fea8f5a0-4e10-5161-8a35-9ac795141db3,Aaron Shepard,verified,
Abram Santana,cae9fcaa-a9d1-5992-bc64-d79fd7f5d5f3,Abram Santana,verified,
Acosta Iván,73ad7158-eb99-5092-9dd7-1c56094dfbf7,Iván Acosta,verified,reversed-name merge
Adam Cieszkiel,fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,verified,
Adam Greenwood,de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,verified,
Adam Greenwood : Sailing Catwalk,de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,verified,junk-name cleanup
Adam Hutchinson,3411998f-eba4-56d9-9ce6-15625a0207ea,Adam Hutchinson,verified,
Adam Keith,6c5e5fe4-c2d5-5d13-85df-1c751c10286e,Adam Keith,verified,
Adam Pirog,5a74ce40-c264-5136-b408-4ca3be3a99f1,Adam Pirog,verified,
Adrian Dick,aa5f0e41-79db-5da1-a7dd-d47f3bd16cc2,Adrian Dick,verified,
Adrian Garcia,4016e3be-276e-521c-a74e-c80a7ce6cd11,Adrian Garcia,verified,
Adrian Garcia ---,4016e3be-276e-521c-a74e-c80a7ce6cd11,Adrian Garcia,verified,
Adrian Pohl,486c9db6-e1e7-5324-b092-8f4158ddb923,Adrian Pohl,verified,
Adrian Verhoef,2824a5fd-45b1-5923-9bcc-a35d9a475770,Adrian Verhoef,verified,
Aerial Santesteban,693b7dd3-a5f9-50da-a4b3-1898bb7a069b,Aerial Santesteban,verified,
Aerial Santesteban,693b7dd3-a5f9-50da-a4b3-1898bb7a069b,Aerial Santesteban,verified,
Aeriel Santestaban,693b7dd3-a5f9-50da-a4b3-1898bb7a069b,Aerial Santesteban,verified,
Ahren Gehrman,919f3417-97e3-574a-9f85-f0aafc57539e,Ahren Gehrman,verified,
Aintno Intemann,71ae4086-3d7f-5fdb-812b-778eda4da0cf,Anthony Intemann,verified,
AJ Shultz,071ff943-073b-5edb-b2b1-ae6bb1676176,AJ Shultz,verified,
Alain Custivic,a42cf921-c464-5ab4-b1ff-f7ce4c0bf8ed,Alain Custovic,verified,
Alain Custovic,a42cf921-c464-5ab4-b1ff-f7ce4c0bf8ed,Alain Custovic,verified,
Alain Custovic,a42cf921-c464-5ab4-b1ff-f7ce4c0bf8ed,Alain Custovic,verified,
Alan Gonzalez,e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,verified,
Alan González,e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,verified,
Alan Gonzalez Gomez,e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,verified,
Alan Gonzalez Gomez,e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,verified,
Alan Gonz�lez,e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,verified,
Alberto Perez,c2637d75-15a7-5f34-b78a-16264db593c0,Alberto Perez,verified,
Alberto Pérez,c2637d75-15a7-5f34-b78a-16264db593c0,Alberto Perez,verified,
Ale Pelko,d56fe6aa-9b02-5154-8b51-9464b5746bc0,Ale Pelko,verified,
Ale� Pelko,d56fe6aa-9b02-5154-8b51-9464b5746bc0,Ale Pelko,verified,
Ale? Pelko,d56fe6aa-9b02-5154-8b51-9464b5746bc0,Ale Pelko,verified,
Ale? Zelinka,f2e73bec-d859-51b9-8312-edb5a473e83e,Ales Zelinka,verified,
Aleksander Trener,24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Aleksander Trener,verified,
Aleksander Trener ?,24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Aleksander Trener,verified,
Aleksey Shloma,20a6818b-f288-59d1-b897-86ab3148988b,Aleksey Shloma,verified,
Aleksi Airinen,7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airlinen,verified,
Aleksi Airinen ?,7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airinen,verified,
Aleksi Airinen Montage Rake,7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airinen,verified,quarantine_split:redirect_from_concat
Aleksi Airlinen,7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airlinen,verified,
Aleksi �hman,998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Oehman,candidate,
Aleksi Oehman,998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Oehman,verified,
Aleksi Oehman,998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Oehman,verified,
Aleksi Ohman,998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Oehman,verified,
Aleksi Öhman,998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Oehman,candidate,
Aleksi Oman,998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Oehman,verified,
Ales Pelko,d56fe6aa-9b02-5154-8b51-9464b5746bc0,Ale Pelko,verified,
Ales Zelinka,f2e73bec-d859-51b9-8312-edb5a473e83e,Ales Zelinka,verified,
Alex (Zeke) Ibardaloza,1b7f1d70-1719-533a-957a-1dae6a2dc23e,Alex Zeke Ibardaloza,verified,
Alex Bartsch,45b40a79-0205-5653-b18d-237dc54e3692,Alex Bartsch,verified,
Alex Bartsch Max Gerhardt,45b40a79-0205-5653-b18d-237dc54e3692,Alex Bartsch,verified,quarantine_split:redirect_from_concat
Alex Dworetzky,337dc937-b022-51ef-8470-99fff306e2c9,Alex Dworetzky,verified,
Alex Dworetzky,337dc937-b022-51ef-8470-99fff306e2c9,Alex Dworetzky,verified,
Alex Dworetzsky,337dc937-b022-51ef-8470-99fff306e2c9,Alex Dworetzky,verified,
Alex Faber,16b2083f-d41a-5944-8669-d41494e21159,Alex Faber,verified,
