provisional_identity_id,canonical_candidate_name,canonical_candidate_name_norm,match_status,matched_historical_person_id,matched_historical_person_name,promotion_status
prov_identity::004005fe2fbd,Philippe Auger,philippe auger,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0096af57ce6d,Tomasz Wróbel,tomasz wróbel,EXACT_HISTORICAL_MATCH,495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,MATCHED_TO_HISTORICAL
prov_identity::00a540779ff1,Tomasz Kociołkowski,tomasz kociołkowski,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0102714ac13e,Andrey S. Serebrenikov,andrey s. serebrenikov,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0106d4a1bbdb,Cesar Guerrero,cesar guerrero,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::011e252240ab,Greg Pestillo,greg pestillo,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::011ee5131164,Dan Jinsoo Jun,dan jinsoo jun,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::015dcd3f89f6,Kimi M. Bartram,kimi m. bartram,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::01623f9b344e,Donald McMeans,donald mcmeans,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0185c1f1d3ec,C.J. J. Mendez,c.j. j. mendez,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::019f0841b473,Martin J. Alvarez,martin j. alvarez,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::01bdd1f06b1e,Steve M. Gillette,steve m. gillette,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::01d3d58b2692,Ashley R. Vitek,ashley r. vitek,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::01efda23ec11,Samuel R. Butler,samuel r. butler,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::02191f142d02,Andres F. Camargo Claros,andres f. camargo claros,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::025b40654a6c,Richie B. Abshire,richie b. abshire,WEAK_HISTORICAL_MATCH,eff27915-34de-5956-8f22-ca7f74b3d49a,Richie Abshire,REVIEW_REQUIRED
prov_identity::02aaaf047373,Michael A. Stokely,michael a. stokely,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::02abf95dad11,Travis H. Culley,travis h. culley,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::02b88bd9fe93,Phillip Herrero,phillip herrero,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::02c6f79ecddb,Dan Larochelle,dan larochelle,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::02c96891c87d,Megan Finaly,megan finaly,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::02ff67f70fb8,Tyler Fonville,tyler fonville,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::032eea454db7,Alex Morton,alex morton,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::036c3f8f4519,Esther Strauch,esther strauch,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::03793f3a6084,Stig Andersen,stig andersen,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::03985a9fa2d3,Ted Smith,ted smith,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::03ccb45ffdf9,Victor Ramirez,victor ramirez,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::03d84a2c0b83,Hannes Janetzek,hannes janetzek,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0419757ab93e,Andrew Hammons,andrew hammons,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0429b0ed926f,Scott F. Hazard,scott f. hazard,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::043c59a1218a,Jody B. Welch,jody b. welch,WEAK_HISTORICAL_MATCH,e333a5e6-3d76-513c-a9a4-f34c09c31b96,Jody Badger Welch,REVIEW_REQUIRED
prov_identity::046d8371a852,Andre Calado Coroado,andre calado coroado,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0474e6614ae6,Michael Green,michael green,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::047ae070c323,Cathy M. Quigg,cathy m. quigg,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0484fbbf04b1,John Krieg,john krieg,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::048b709455ff,Plamena I. Ivanova,plamena i. ivanova,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::04ada35ac778,Paolo Marchionni,paolo marchionni,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::04dd75cf7077,Courtney Bohrer,courtney bohrer,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::04eba6fb7885,Christy L. Guldenzopf,christy l. guldenzopf,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::050cd9639c8a,Julio Cesar Palacio Bedoya,julio cesar palacio bedoya,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::052e6e7dfa4f,Fidel E. Sánchez Báez,fidel e. sánchez báez,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05656b3d2724,Jordan Marson,jordan marson,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05a3e37017d7,Florian Medlitsch,florian medlitsch,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05aa0f2b1504,Heather Cook,heather cook,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05b09b53ab4d,Michael Mazzone Jr.,michael mazzone jr.,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05c5d3f846ec,Gordon Gilges,gordon gilges,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05d0441e1dd3,Miles Kelly,miles kelly,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05dabc272295,Ahmed U. Musa Alhaji,ahmed u. musa alhaji,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::05f7ac9b59ac,Daniel Wachtler,daniel wachtler,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::066cd7dc8b92,Paul Wackerow,paul wackerow,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::066edbe5381e,Ari Krepostman,ari krepostman,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0697225506a6,Anthony Beliard,anthony beliard,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::06aaa1beed15,Christian Winkelmeier,christian winkelmeier,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::06cc673f1f44,Kale L. Tanner,kale l. tanner,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::06d7eea21fd8,Joshua R. Schilling,joshua r. schilling,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::06f8d50d3434,Giulio De Blasio,giulio de blasio,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::071199bf0014,Justin Rutledge,justin rutledge,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::075f48b007f6,Matthew B. Sonberg,matthew b. sonberg,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0774231ebeea,Marco Chacon,marco chacon,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0778d0bb4ec8,Daniel Cardenas Toro,daniel cardenas toro,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::079161c0fed7,Leigh J. Reily,leigh j. reily,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::07d938fc1239,Santiago Giraldo,santiago giraldo,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::09805b37bf9f,Junya Shimada,junya shimada,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::098b6ca86f6d,Matthias L. Schmidt,matthias l. schmidt,HISTORICAL_CONFLICT,f52e0fe8-4eff-5532-9af4-14124f1e92ee,Matthias Lino Schmidt,REVIEW_REQUIRED
prov_identity::0990da0598b7,Wojciech C. Jamski,wojciech c. jamski,HISTORICAL_CONFLICT,5f18c8da-8246-59ef-a93b-c4e261e9c832,Wojciech Chester Jamski,REVIEW_REQUIRED
prov_identity::09bac110a13c,Magdalena Skołowska,magdalena skołowska,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::09c25c4eb930,Michael Varvaro,michael varvaro,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::09ea6b0e69bd,Patrick Frigault,patrick frigault,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0a018a2ecb51,Mike Bellman,mike bellman,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0a414e52cbc1,Jani Säntti,jani säntti,EXACT_HISTORICAL_MATCH,bd8f51fb-7188-58b6-96ef-720edd7c8a61,Jani Säntti,MATCHED_TO_HISTORICAL
prov_identity::0a44fbc33e0c,Jospo Espinoza,jospo espinoza,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0a8458b5ac0c,Fraser Hanson,fraser hanson,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0abfdbcdb840,George E. Todd,george e. todd,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0ad6b172dbd5,Teppo J. Harju,teppo j. harju,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0af9a0026ea3,Tim R. Fuller,tim r. fuller,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0b0005040290,Leon W. Anderson-Knight,leon w. anderson-knight,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0b9a6f822743,Mathew J. Bishop,mathew j. bishop,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0bae65761f8c,Declan B. Sleeper,declan b. sleeper,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0bf0a43bcb4a,Byrin J. Wylie,byrin j. wylie,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0c1257c66479,Tom N. Mosher,tom n. mosher,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0c2cd941738c,Pete J. Holoien,pete j. holoien,WEAK_HISTORICAL_MATCH,e996f976-bdc2-5b85-8526-1a9c40f9a8ba,Pete Holoien,REVIEW_REQUIRED
prov_identity::0c38e5d5d845,Jack M. Wright,jack m. wright,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0c643299ebf4,David Hillis,david hillis,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0c6754ffe1f6,Morton East,morton east,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0c940576eb27,Weaver Willow,weaver willow,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0cbca8a8db68,Alessandre Naro,alessandre naro,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0cd4220ce606,Mosa Emamjomeh,mosa emamjomeh,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0cd56cad2e75,Bradley A. Robinson,bradley a. robinson,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0cf5fa08e3b6,Alfredo A. Perez Linares,alfredo a. perez linares,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0d25fc61a962,Matt C. Pinkus,matt c. pinkus,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0d43430091ba,Jon Campbell,jon campbell,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0d6f1bc13338,Rosen N. Pelovski,rosen n. pelovski,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0d90ccc44b3e,Sean A. McDermid,sean a. mcdermid,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0d9deb9b11a4,Andy S. Bomar,andy s. bomar,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0dc711094263,Andi Schwander,andi schwander,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0de05510fc45,Darryl Kasper,darryl kasper,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0df35e2be630,Etienne Gastineau,etienne gastineau,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0df38cf6e715,Laurence-Olivier Malouin Trudel,laurence-olivier malouin trudel,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0e067ee75115,Rachel L. Abramson,rachel l. abramson,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0e1b767605dd,Ditlev L. Marboe,ditlev l. marboe,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0e2ad7c63a48,Matt W. Sweeny,matt w. sweeny,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0e36253076f1,Otto Remis,otto remis,NO_HISTORICAL_MATCH,,,STAGED
prov_identity::0e437d30d8d8,Jason Bjorklund,jason bjorklund,NO_HISTORICAL_MATCH,,,STAGED
