canonical_trick_name,trick_slug,matched_alias,video_exists,confidence,source_type,source_name,page_or_channel,title,url,timestamp,creator,clip_type,license_notes,notes,reviewed
,,2-Bag Juggle,YES,HIGH,youtube,,,Passback record by Taishi Ishida,https://youtu.be/XeJHACfaU2Q?t=103,1:43,Taishi Ishida,passback,,From freestyle_records (probable),NO
around the world,around-the-world,ATW,YES,HIGH,youtube,,,Passback record by Krzysztof Sobótka,https://youtu.be/zhrbljcVSvE?t=9,0:09,Krzysztof Sobótka,passback,,,YES
,,Alpine Blurry Whirl,YES,HIGH,youtube,,,Passback record by David Clavens,https://youtu.be/NWEsbDJw5Lc?t=136,2:16,David Clavens,passback,,From freestyle_records (probable),NO
,,Alpine Magellan,YES,HIGH,youtube,,,Passback record by Jakub Worek,https://www.youtube.com/watch?v=NzTDp2IvJYE,,Jakub Worek,passback,,From freestyle_records (probable),NO
,,Alpine PLO,YES,HIGH,youtube,,,Passback record by Krzysztof Sobótka,https://youtu.be/JQMLJirIic0?t=11,0:11,Krzysztof Sobótka,passback,,From freestyle_records (probable),NO
,,Alpine Paste,YES,HIGH,youtube,,,Passback record by Derek Littlefield,https://youtu.be/UcSxoF3Moag?t=74,1:14,Derek Littlefield,passback,,From freestyle_records (probable),NO
,,Alpine Pigbeater,YES,HIGH,facebook,,,Passback record by Jakub Worek,https://www.facebook.com/jakub.worek.5/videos/10213551042290800/,,Jakub Worek,passback,,From freestyle_records (probable),NO
,,Alpine Smog,YES,HIGH,youtube,,,Passback record by Jakub Worek,https://www.youtube.com/watch?v=wNuFpxbEUVA,,Jakub Worek,passback,,From freestyle_records (probable),NO
,,Alpine Smudge,YES,HIGH,instagram,,,Passback record by Derek Littlefield,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,4,Derek Littlefield,passback,,From freestyle_records (probable),NO
,,Assassin,YES,HIGH,youtube,,,Passback record by Tuukka Antikainen,https://youtu.be/PHA9IqbW6JA?t=260,4:20,Tuukka Antikainen,passback,,From freestyle_records (probable),NO
,,Assassin (ss),YES,HIGH,instagram,,,Passback record by Derek Littlefield,https://www.instagram.com/p/CVsfQXRrpOm/?img_index=8,8,Derek Littlefield,passback,,From freestyle_records (probable),NO
,,Atomic Legover,YES,HIGH,youtube,,,Passback record by Jay Boychuk,https://youtu.be/g_Hkw6Pckvk?t=909,15:10,Jay Boychuk,passback,,From freestyle_records (probable),NO
